Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
fourty creek,"Navigational, Commercial",40,"0.00,0.00,0.45,0.00,0.63,0.63,1.00,0.00,0.00,0.00,0.00,0.00",26,0.00,0.99,"Sitelinks, Image, People also ask, Related searches, Popular products"
back forty bbq walnut creek,"Navigational, Transactional",30,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",39,0.00,0.03,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches"
back forty bbq walnut creek ca,"Navigational, Transactional",30,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",23,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
back forty texas bbq walnut creek,"Navigational, Transactional",30,"0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.13,0.13",23,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
back forty texas bbq walnut creek ca,"Navigational, Transactional",30,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",23,0.00,0.33,"Sitelinks, People also ask, Knowledge panel, Related searches"
back forty walnut creek,"Navigational, Transactional",30,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",40,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
back forty walnut creek ca,"Navigational, Transactional",30,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",39,0.00,0.33,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek confederation oak reserve,"Informational, Commercial",30,"0.14,0.14,0.14,0.14,0.14,0.21,1.00,0.14,0.14,0.14,0.14,0.14",3,0.51,1.00,"AI Overview, Image, People also ask, Related searches, Popular products"
forty creek outfitters,Navigational,30,"0.00,0.00,0.00,0.00,0.00,0.44,1.00,0.44,0.44,0.44,0.44,0.44",0,0.00,0.08,"Sitelinks, Related searches"
forty creek whisky,Navigational,30,"0.14,0.14,0.21,0.14,0.14,0.14,0.07,0.14,0.14,0.14,0.14,1.00",16,0.00,0.09,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
texas back forty walnut creek,"Navigational, Transactional",30,"0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.13,0.13,0.13,0.13,0.13",29,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
alpenbitter forty creek,Informational,20,"1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.00,"People also ask, Related searches"
best forty creek whiskey,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.33,"Video, People also ask, Discussions and forums, Related searches, Popular products"
canadian whiskey forty creek,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",11,0.00,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
canadian whisky forty creek,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",11,0.00,0.19,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
cane creek forty,"Informational, Navigational",20,"0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,0.64,1.00,1.00",10,0.44,1.00,"Sitelinks, Image pack, Video carousel, People also ask, Knowledge panel, Related searches"
cane creek forty 1.5 straight frame to tapered fork,Informational,20,"1.00,0.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
cane creek forty bearings,"Informational, Transactional",20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.86,"Sitelinks, People also ask, Discussions and forums, Related searches, Popular products"
cane creek forty crown race,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.93,"Sitelinks, People also ask, Knowledge panel, Related searches"
cane creek forty headset installation,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.09,"Image pack, Video carousel, People also ask, Related searches"
cane creek forty headset review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,1.00,"Video, People also ask, Related searches"
cane creek forty installation,Informational,20,"1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.00,"Video, Video carousel, Related searches"
cane creek forty zs,"Informational, Transactional",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
cane creek forty zs44,"Informational, Transactional",20,"1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,1.00,"Sitelinks, Video, People also ask, Knowledge panel, Discussions and forums, Related searches"
copper pot forty creek,Informational,20,"1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches"
crown royal vs forty creek,"Informational, Commercial",20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",13,0.00,0.33,"Video carousel, People also ask, Related searches"
fortis creek national park,"Informational, Transactional",20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",19,0.00,0.33,"Reviews, Image, People also ask, Knowledge panel, Related searches"
forty creek alcohol,"Navigational, Commercial",20,"1.00,1.00,1.00,0.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",14,0.00,0.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
forty creek animal hospital,Navigational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",24,0.00,0.33,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek barbecue sauce,"Informational, Commercial",20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",4,0.00,0.20,"AI Overview, Image, People also ask, Related searches"
forty creek barrel,"Informational, Transactional",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,1.00,"Image, Image pack, Video, People also ask, Related searches, Popular products"
forty creek barrel select canadian whiskey,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.00,"Sitelinks, Reviews, Image, Video carousel, People also ask, Related searches, Popular products"
forty creek barrel select canadian whisky,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.99,"Reviews, Image, People also ask, Related searches, Popular products"
forty creek barrel select price,Transactional,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.21,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products"
forty creek barrel select review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.05,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
forty creek barrel select vs crown royal,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"Reviews, Video carousel, People also ask, Discussions and forums, Related searches"
forty creek barrel select whisky review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.17,"AI Overview, Reviews, Video carousel, People also ask, Related searches"
forty creek bbq,Informational,20,"1.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",11,0.00,0.33,"Video, People also ask, Related searches"
forty creek bbq sauce,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.33,"Image, Image pack, People also ask, Related searches"
forty creek bourbon,Navigational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",9,0.00,0.95,"Sitelinks, AI Overview, Image, People also ask, Discussions and forums, Related searches, Popular products"
forty creek butter tart,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.05,"Video, People also ask, Recipes, Related searches"
forty creek canadian,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",11,0.00,1.00,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches"
forty creek canadian whiskey price,Commercial,20,"0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.96,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
forty creek confederation,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,1.00,"People also ask, Related searches"
forty creek confederation oak reserve review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.14,"People also ask, Related searches"
forty creek confederation oak reserve whisky,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.33,"AI Overview, People also ask, Related searches, Popular products"
forty creek confederation oak review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.33,"Video carousel, People also ask, Related searches"
forty creek copper,Informational,20,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.00,"Sitelinks, Image pack, People also ask, Related searches"
forty creek copper bold,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.99,"Sitelinks, People also ask, Related searches"
forty creek copper bold review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.33,"Video, People also ask, Related searches"
forty creek copper pot,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.85,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
forty creek copper pot reserve,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.81,"AI Overview, Image, People also ask, Discussions and forums, Related searches"
forty creek copper pot reserve whisky,Commercial,20,"1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.57,"Sitelinks, Image, Image pack, People also ask, Discussions and forums, Related searches"
forty creek copper pot whiskey,"Informational, Commercial",20,"1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.63,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
forty creek cream,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",10,0.00,0.85,"Sitelinks, Image, Image pack, People also ask, Related searches"
forty creek cream liqueur,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.55,"Image, Image pack, People also ask, Related searches"
forty creek cream vs baileys,Commercial,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",4,0.00,0.33,"Image, Video, People also ask, Related searches"
forty creek cream whiskey,Informational,20,"0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.90,"Image, Image pack, People also ask, Related searches"
forty creek distillery grimsby,"Navigational, Transactional",20,"1.00,0.00,0.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek distillery ltd,Navigational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.33,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek distillery ltd.,Navigational,20,"1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.33,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek distillery reviews,Commercial,20,"1.00,1.00,1.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.00,"Reviews, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
forty creek distillery tour,Navigational,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",13,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek distillery tours,"Navigational, Transactional",20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
forty creek double barrel,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.98,"AI Overview, Image, People also ask, Related searches, Popular products"
forty creek double barrel reserve,Commercial,20,"0.67,0.67,0.67,0.67,0.67,0.67,1.00,0.67,0.67,0.67,0.67,0.67",0,0.00,0.99,"AI Overview, Image, People also ask, Related searches, Popular products"
forty creek double barrel reserve price,Commercial,20,"1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,1.00,"Sitelinks, Video, People also ask, Related searches"
forty creek double barrel reserve review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.76,"Video carousel, People also ask, Related searches"
forty creek double barrel review,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"Video carousel, People also ask, Discussions and forums, Related searches"
forty creek double barrel select,Commercial,20,"1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,1.00,"People also ask, Related searches, Popular products"
forty creek foxheart,Informational,20,"1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,1.00,"Sitelinks, People also ask, Related searches"
