Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
kwv brandy near me,Transactional,40,"1.00,0.70,1.00,0.42,0.42,0.42,0.58,0.27,0.27,0.42,0.58,0.42",7,1.17,0.73,"People also ask, Local pack, Related searches"
south african brandy in usa,Commercial,40,"1.00,0.56,0.44,0.56,0.32,0.44,0.32,0.21,0.21,0.32,0.56,0.76",0,0.00,0.64,"AI Overview, Reviews, People also ask, Related searches, Popular products"
brandy tart south africa,Informational,30,"0.00,0.00,1.00,0.14,0.14,0.14,0.14,0.00,0.14,1.00,0.14,0.00",6,0.00,0.00,"Image, Image pack, People also ask, Recipes, Related searches"
best brandy in south africa,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.46,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
best brandy south africa,Commercial,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
best south african brandy,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.46,"Sitelinks, AI Overview, People also ask, Related searches"
brandy and coke south africa,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.33,"AI Overview, Image pack, Video, Video carousel, People also ask"
brandy balls recipe south africa,Informational,20,"1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",14,0.00,0.33,"Image, Video carousel, People also ask, Recipes, Related searches"
brandy brands in south africa,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.18,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
brandy brands south africa,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
brandy concert in south africa,Informational,20,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",14,0.00,0.00,"Video, People also ask, Related searches"
brandy concert south africa,Informational,20,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",14,0.00,0.00,"Video, People also ask, Related searches"
brandy melville south africa,Navigational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",48,0.00,0.33,"Sitelinks, People also ask, Related searches"
brandy south africa concert,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",27,0.00,0.33,"Video, Video carousel, People also ask, Related searches"
brandy tart recipe south africa,Informational,20,"0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.33,"Video carousel, People also ask, Recipes, Related searches"
brandy tour south africa,Informational,20,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",20,0.00,0.00,"People also ask, Related searches"
cheap south african brandy,Commercial,20,"1.00,1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,0.00",2,0.00,0.00,"Sitelinks, People also ask, Related searches, Popular products"
cheapest brandy in south africa,Informational,20,"1.00,1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.00,"People also ask, Related searches"
ginger brandy south africa,"Informational, Commercial",20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",3,0.00,0.25,"Image, Image pack, People also ask, Related searches"
klipdrift brandy south africa,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.33,"Reviews, Image, People also ask, Knowledge panel, Related searches"
kwv brandy south africa,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",9,0.00,0.02,"Image, Image pack, People also ask, Related searches, Popular products"
most expensive brandy in south africa,Commercial,20,"1.00,1.00,1.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,0.00",4,0.00,0.00,"Image, Image pack, Video, People also ask, Related searches"
most popular brandy in south africa,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.33,"Sitelinks, People also ask, Related searches"
popular brandy in south africa,Informational,20,"1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.33,"Sitelinks, People also ask, Related searches"
potstill brandy south africa,Commercial,20,"0.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"Sitelinks, Image, People also ask, Related searches, Popular products"
richelieu brandy south africa,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.03,"AI Overview, Image, Image pack, People also ask, Related searches"
richelieu south african brandy,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"AI Overview, Image, People also ask, Related searches"
south africa brandy,Informational,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.43,"Sitelinks, AI Overview, Image pack, People also ask, Related searches"
south africa brandy and coke,Informational,20,"0.00,0.00,0.28,1.00,0.28,0.28,0.28,0.28,0.28,0.28,0.28,0.28",13,0.00,0.33,"AI Overview, Video, Video carousel, People also ask"
south african brandy and coke,Informational,20,"1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",5,0.00,0.33,"AI Overview, Video, Video carousel, Short videos, People also ask"
south african brandy brands,"Informational, Commercial",20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.30,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
south african brandy for sale,Transactional,20,"1.00,0.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",1,0.00,0.00,"Sitelinks, Image pack, People also ask, Local pack, Related searches, Popular products"
south african brandy glass,"Informational, Commercial",20,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,1.00,0.14,0.14",1,0.00,0.40,"Image, Image pack, Video, People also ask, Related searches, Popular products"
south african brandy in canada,Commercial,20,"1.00,1.00,1.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.33,"Reviews, People also ask, Related searches"
south african brandy klipdrift,Commercial,20,"1.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.43,"Reviews, Image, Image pack, People also ask, Related searches"
south african brandy kwv,Commercial,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.02,"Reviews, Video, People also ask, Related searches, Popular products"
south african brandy near me,Transactional,20,"1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",13,0.00,0.81,"Sitelinks, Reviews, People also ask, Local pack, Related searches"
south african brandy tart recipe,Informational,20,"0.00,1.00,0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",6,0.00,0.33,"Video carousel, People also ask, Recipes, Related searches"
south african brandy usa,"Informational, Commercial",20,"1.00,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29",0,0.84,0.76,"AI Overview, Reviews, Image, People also ask, Related searches, Popular products"
top 10 brandy in south africa,Commercial,20,"0.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00",2,0.00,0.33,"Sitelinks, People also ask, Related searches"
types of brandy in south africa,Informational,20,"1.00,1.00,1.00,1.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,1.00",12,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
best selling brandy in south africa,Commercial,10,"1.00,0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",1,0.00,0.33,"Sitelinks, People also ask, Related searches, Popular products"
bols brandy south africa,Informational,10,"1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Image pack, People also ask, Related searches"
brandy essence south africa,Informational,10,"0.00,1.00,1.00,1.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.33,"People also ask, Related searches"
brandy prices south africa,Transactional,10,"1.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",2,0.00,0.00,"People also ask, Related searches"
brandy pudding south africa,Informational,10,"0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",10,0.00,0.33,"Image, Image pack, People also ask, Recipes, Related searches"
brandy south africa,Informational,10,"0.00,0.67,1.00,1.00,0.00,0.33,0.67,0.00,0.00,0.00,0.33,0.67",0,0.38,0.37,"AI Overview, Image, Image pack, People also ask, Related searches, Things to know"
buy south african brandy usa,Transactional,10,"0.00,1.00,1.00,1.00,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00",0,0.00,0.00,"Reviews, Image, People also ask, Knowledge panel, Related searches, Popular products"
cheap brandy brands in south africa,Commercial,10,"1.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",2,0.00,0.33,"Sitelinks, People also ask, Related searches"
kwv 10 year brandy price south africa,Commercial,10,"0.00,1.00,0.00,0.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00",0,0.00,0.00,"People also ask, Related searches"
price of brandy bottle south africa,Commercial,10,"0.80,1.00,0.20,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",2,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
south african brandy association,Navigational,10,"0.00,1.00,1.00,0.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, People also ask, Knowledge panel, Related searches"
south african brandy brands list,Informational,10,"1.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00",5,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
top 5 best brandy in south africa,Commercial,10,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00",5,0.00,1.00,"Sitelinks, Image, Video, People also ask, Related searches"
1-2-3 south africa brandy cola ford,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",7,0.00,0.00,"Image, Image pack, Video"
1920 brandy price south africa,Transactional,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
1920 brandy south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
1920 brandy south africa price,Transactional,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
apple brandy south africa,Informational,0,"0.00,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, Image pack, People also ask, Related searches"
appropriate brandy for lobola negotiation south africa,"Informational, Commercial",0,0.00,0,0.00,0.00,"Image pack, People also ask, Related searches"
bertrams brandy south africa,"Informational, Commercial",0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
best brandies in south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches"
best brandy brands in south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"AI Overview, Image, People also ask, Related searches, Popular products"
best south africa brandy,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
best south african brandy 2017,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, People also ask, Related searches, Popular products"
best south african brandy 2018,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",3,0.00,0.00,"Sitelinks, People also ask, Related searches, Popular products"
bols brandy price in south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
bols brandy south africa price,Transactional,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Reviews, Image pack, People also ask, Related searches"
boplaas brandy reserve 5 year old price south africa,"Navigational, Transactional",0,"0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"People also ask, Related searches"
brandi cyrus boyfriend south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Image, Image pack, People also ask"
brandi cyrus south africa,Informational,0,"0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",18,0.00,0.33,"People also ask, Related searches"
brandi cyrus south african boyfriend,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Image, Image pack, Video, People also ask"
brandi dog game south africa,"Informational, Transactional",0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Reviews, Image pack, Video, People also ask, Related searches"
brands of brandy in south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, People also ask, Related searches, Popular products"
brandy advertising south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Video, People also ask"
brandy alcohol brands south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, Video, People also ask, Related searches, Popular products"
brandy balls south africa,Informational,0,"1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",6,0.00,0.33,"Image, Image pack, People also ask, Recipes, Related searches"
brandy cake recipe south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Image, Video carousel, People also ask, Recipes, Related searches"
brandy club south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Video, People also ask, Related searches"
brandy coke south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00",0,0.00,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask"
brandy coming to south africa 2018,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",13,0.00,0.00,"Video, Video carousel, People also ask"
brandy concert in south africa 2017,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",14,0.00,0.00,"Video, Video carousel, People also ask, Related searches"
brandy concert south africa 2017,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",25,0.00,0.00,"Video, People also ask, Related searches"
brandy consumption in south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Reviews, People also ask"
brandy distillery south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",5,0.00,0.00,"Sitelinks, Video, People also ask, Knowledge panel, Related searches"
brandy for sale south africa,Transactional,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, Video, People also ask, Related searches"
brandy fruit cake recipe south africa,Informational,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Sitelinks, Image, People also ask, Recipes, Related searches"
brandy gifts south africa,Commercial,0,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",0,0.00,0.00,"Image, People also ask, Related searches"
