Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
angels bourbon,"Navigational, Commercial",590,"0.48,0.58,0.58,0.58,0.89,0.58,1.00,0.48,0.48,0.48,0.48,0.58",19,0.76,1.00,"Sitelinks, Reviews, Image pack, Video, People also ask, Related searches, Popular products",194
angels evny,Informational,590,"0.01,0.00,1.00,0.36,0.62,1.00,1.00,0.04,0.30,0.01,0.00,0.04",20,0.37,0.98,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products",192
angels liquor,"Navigational, Commercial",590,"0.16,0.24,0.03,0.05,0.05,0.04,0.16,0.41,0.16,0.24,1.00,0.36",28,1.26,0.41,"Sitelinks, Reviews, Video, People also ask, Local pack, Related searches, Popular products",206
angel's envy cost,Commercial,480,"0.13,0.08,0.02,0.05,0.10,0.62,1.00,0.37,0.30,0.37,0.37,0.24",7,0.33,0.78,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",196
angel's envy kentucky straight bourbon whiskey,"Navigational, Commercial",480,"0.44,0.81,0.67,0.67,0.54,0.12,1.00,0.36,0.29,0.44,0.54,0.81",13,0.52,0.61,"Sitelinks, Reviews, Image, Video, People also ask, Related searches, Popular products",193
angel's envy louisville,Navigational,480,"0.76,0.55,0.30,0.36,0.36,0.20,0.16,0.24,0.30,0.45,0.76,1.00",33,0.74,0.75,"Sitelinks, Reviews, Image, Video, People also ask, Knowledge panel, Related searches",166
bourbon angel's envy,"Navigational, Commercial",480,"0.37,0.26,0.79,1.00,0.53,0.11,0.26,0.11,0.00,0.00,0.00,0.00",26,0.40,1.00,"Sitelinks, Video, People also ask, Related searches, Popular products",195
bourbon distillery in louisville,Commercial,480,"1.00,1.00,0.35,0.52,0.52,0.65,0.42,0.52,0.52,0.81,0.81,0.65",40,0.51,0.34,"Image, People also ask, Local pack, Discussions and forums, Related searches",205
angel's envy bourbon cost,"Informational, Transactional",390,"0.16,0.30,0.16,0.10,0.13,0.76,1.00,0.36,0.00,0.30,0.30,0.30",7,0.30,0.93,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",194
angel's envy kentucky straight bourbon,"Navigational, Commercial",390,"0.39,0.39,0.39,0.39,0.39,1.00,0.88,0.26,0.26,0.39,0.48,0.72",24,0.58,0.79,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",190
angel's envy private selection single barrel,Commercial,390,"0.66,0.66,0.81,0.54,0.54,0.81,1.00,0.36,0.23,0.29,0.15,0.09",13,1.23,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",179
angel's envy tours,Navigational,390,"0.24,0.37,1.00,0.68,0.76,0.00,0.00,0.00,0.01,0.06,0.04,0.01",30,0.79,0.87,"Sitelinks, Reviews, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches",159
angel's envy whiskey price,Transactional,390,"0.67,0.80,0.80,0.67,0.67,0.80,1.00,0.53,0.36,0.53,0.53,0.44",5,0.42,0.97,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",20
angels envy single barrel,"Informational, Commercial",390,"0.11,0.17,0.39,1.00,0.72,0.72,0.88,0.14,0.09,0.09,0.09,0.48",7,0.69,0.96,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",185
angels envy tour,"Informational, Navigational",390,"0.16,0.42,0.65,0.06,0.65,0.00,0.81,0.65,0.03,0.42,1.00,0.26",30,0.79,0.87,"Sitelinks, Reviews, Video, Video carousel, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches",167
angels whiskey,Informational,390,"1.00,0.39,0.32,0.32,0.32,0.47,0.39,0.32,0.21,0.21,0.39,0.88",12,0.70,1.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products",192
angel's envy port finish,Commercial,320,"0.54,1.00,1.00,0.35,0.35,0.43,0.81,0.54,0.43,0.81,0.81,0.54",6,0.60,0.99,"Sitelinks, Reviews, Video, Video carousel, People also ask, Related searches, Things to know",183
angel's envy triple oak review,"Informational, Commercial",320,"1.00,0.62,0.77,0.54,0.62,1.00,0.77,0.38,0.38,0.54,0.54,0.31",7,0.00,0.18,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches",187
angel's envy whisky,"Navigational, Commercial",320,"0.24,0.18,0.18,0.24,0.82,0.65,0.65,1.00,0.24,0.24,0.24,0.24",13,0.45,0.87,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",193
bourbon angel's envy price,Transactional,320,"0.16,0.16,0.16,0.10,0.13,0.00,1.00,0.36,0.24,0.30,0.30,0.30",6,0.30,0.93,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",190
massage envy los angeles,"Informational, Navigational",320,"0.44,0.81,0.44,0.44,0.54,0.44,1.00,0.44,0.35,0.44,0.35,0.66",40,1.31,0.73,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches",105
who makes angel's envy,Informational,320,"1.00,0.81,0.67,0.67,0.43,0.43,1.00,0.22,0.28,0.43,0.43,0.22",27,0.52,0.01,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches",168
angel envy cask strength,Commercial,260,"0.22,0.30,0.19,0.19,0.22,1.00,0.43,0.19,0.14,1.00,0.19,0.19",11,1.10,1.00,"Sitelinks, Video, Video carousel, People also ask, Popular products",187
angel envy rye whiskey,"Informational, Commercial",260,"0.19,0.36,0.36,0.09,0.15,1.00,0.66,0.19,0.54,0.54,0.00,0.54",6,0.48,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, Short videos, People also ask, Related searches, Popular products",194
angel wings bourbon,Commercial,260,"0.43,0.43,0.43,0.34,0.34,0.43,1.00,0.43,0.34,0.34,0.34,0.34",18,0.52,0.99,"Sitelinks, Image pack, Video, People also ask, Related searches, Popular products",147
angel wings whiskey,Informational,260,"0.54,0.54,0.43,0.43,0.43,0.54,1.00,0.54,0.35,0.43,0.35,0.43",16,0.71,1.00,"Sitelinks, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",199
angel's envy bourbon club,Informational,260,"0.29,0.18,0.54,0.54,0.35,0.35,0.54,0.35,0.29,1.00,1.00,0.35",7,0.54,0.06,"Reviews, Video, People also ask, Knowledge panel, Related searches",171
angel's envy finished in port barrel bourbon whiskey,Commercial,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches, Popular products",160
angel's envy review,Commercial,260,"0.80,0.80,0.53,0.13,0.53,0.00,1.00,0.53,0.43,0.33,0.43,0.33",10,0.00,0.15,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches",180
angel's envy triple oak bourbon,Commercial,260,"0.28,0.11,0.19,0.19,0.22,0.28,1.00,0.36,0.28,0.22,0.22,0.22",8,0.57,0.95,"Sitelinks, AI Overview, Reviews, Image, Video, Video carousel, People also ask, Related searches, Popular products",196
angel's envy triple oak price,Transactional,260,"1.00,0.66,0.54,0.43,0.43,0.35,1.00,0.35,0.22,0.35,0.14,0.14",5,0.38,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",176
angel's envy750ml,Commercial,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",10,0.00,0.00,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",197
angels bourbon whiskey,"Informational, Transactional",260,"1.00,0.43,0.02,0.13,0.43,0.67,1.00,0.00,0.19,0.28,0.22,0.22",21,0.69,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",196
angels env,Informational,260,"0.04,0.07,0.02,0.15,0.43,0.02,0.04,0.80,0.04,0.00,1.00,0.07",26,0.34,0.99,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, Popular products",194
angels envy bourbon whiskey,"Navigational, Commercial",260,"0.14,0.21,0.26,0.59,0.03,0.32,1.00,0.07,0.03,0.03,0.09,0.05",24,0.38,1.00,"Sitelinks, Video, Video carousel, People also ask, Related searches, Popular products",197
envys,Informational,260,"0.09,0.15,0.88,0.47,0.21,0.00,0.00,0.32,0.00,0.38,1.00,0.15",42,1.11,0.33,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",110
louisville distilling company,Navigational,260,"0.54,0.54,0.35,0.66,0.54,1.00,0.43,0.43,0.35,0.29,0.29,0.43",36,1.38,0.10,"Sitelinks, AI Overview, Reviews, Video, People also ask, Local pack, Knowledge panel, Related searches",127
massage envy los angeles california,"Informational, Navigational",260,"0.66,0.35,0.22,0.43,0.43,0.54,1.00,0.54,0.43,0.66,0.54,0.54",41,1.54,0.72,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches",57
who owns angel's envy,Informational,260,"1.00,0.66,0.66,0.66,0.66,0.53,0.66,0.53,0.43,0.53,0.53,0.53",27,0.00,0.33,"AI Overview, Video, Video carousel, People also ask, Related searches",121
angel envy tour,Navigational,210,"0.00,0.09,0.24,1.00,0.24,0.24,0.00,0.04,0.06,0.13,0.09,0.44",22,0.79,0.87,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Discussions and forums, Related searches",185
angel's boxing academy,Navigational,210,"0.35,0.12,0.23,0.23,0.82,0.00,0.43,0.66,0.82,0.82,1.00,0.53",69,0.00,0.02,"Reviews, Image, Image pack, Video, People also ask, Local pack, Related searches",26200000
angel's envy 750ml price,Transactional,210,"0.23,0.23,0.18,0.28,0.44,0.18,1.00,0.44,0.23,0.35,0.06,0.05",5,0.45,0.99,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",178
angel's envy bottle,"Navigational, Commercial",210,"0.80,0.80,0.80,0.80,0.80,0.80,1.00,0.65,0.42,0.53,0.65,0.53",11,0.97,1.00,"Sitelinks, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",199
angel's envy cask strength 2025,Commercial,210,"0.02,0.02,0.12,0.19,0.19,0.44,1.00,0.29,0.23,0.19,0.19,0.07",5,0.76,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",172
angel's envy french oak rye whiskey,"Informational, Commercial",210,"1.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01,0.01",2,0.00,1.00,"Sitelinks, AI Overview, Reviews, Video, Video carousel, Related searches, Popular products",194
angel's envy near me,Transactional,210,"0.52,0.52,0.66,0.52,0.66,0.52,1.00,0.34,0.34,0.52,0.52,0.52",10,1.08,0.93,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products",30900000
angel's envy single barrel private selection,Commercial,210,"0.54,0.66,1.00,0.66,0.43,0.43,1.00,0.35,0.14,0.04,0.08,0.08",6,1.20,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",179
angel's envy small batch,Informational,210,"0.29,0.29,0.29,0.22,0.43,0.54,1.00,0.54,0.29,0.35,0.35,0.29",6,0.88,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",191
angels beverage,Informational,210,"1.00,0.43,0.34,0.65,0.53,0.81,0.81,0.81,0.65,0.65,0.81,0.65",13,0.00,0.03,"Sitelinks, AI Overview, Reviews, Video, People also ask, Knowledge panel, Related searches",138
angels enby,Informational,210,"1.00,0.00,0.00,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",21,0.37,0.98,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products",196
angels envy bottled in bond,Commercial,210,"0.11,0.08,0.11,0.35,1.00,0.44,0.54,0.15,0.54,0.54,0.81,0.54",10,0.68,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",112
angels envy louisville,"Informational, Transactional",210,"0.07,0.08,0.05,0.05,0.07,0.03,0.03,0.04,0.05,0.41,0.79,1.00",24,0.74,0.75,"Sitelinks, Reviews, Video, People also ask, Knowledge panel, Related searches",163
