Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
who makes basil hayden bourbon,Informational,260,"0.53,0.53,0.53,0.53,0.53,1.00,1.00,1.00,0.43,0.53,0.53,0.53",30,3.00,0.18,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",162
basil haden bourbon,Navigational,210,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.37,0.00,0.00,0.02",29,0.47,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",196
basil hayden bourbon cost,"Informational, Commercial",210,"0.36,0.55,1.00,0.18,0.36,0.00,0.18,0.24,0.15,0.18,0.11,0.11",14,0.66,0.96,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",196
basil hayden bourbons,"Navigational, Transactional",210,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.01",29,0.47,1.00,"Sitelinks, Image, People also ask, Related searches, Popular products",195
basil hayden reviews,Commercial,210,"0.18,0.14,0.18,0.14,0.44,0.44,1.00,0.44,0.29,0.35,0.55,0.44",13,0.75,0.40,"Sitelinks, AI Overview, Reviews, Video carousel, Short videos, People also ask, Related searches",181
basil hayden small batch,Commercial,210,"0.55,0.65,0.55,0.65,0.55,0.65,1.00,0.40,0.40,0.25,0.40,0.55",24,1.18,0.98,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",193
basil hayden toast review,Commercial,210,"0.40,0.40,0.50,0.40,0.40,0.50,1.00,0.40,0.35,0.40,0.35,0.40",7,0.00,0.09,"AI Overview, Reviews, Video carousel, People also ask, Related searches",184
basil hayden whisky,Informational,210,"0.06,0.03,0.23,0.06,0.26,0.42,1.00,0.42,0.26,0.35,0.42,0.42",24,0.50,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",199
basil hayden's distillery,Informational,210,"0.36,0.36,0.43,0.67,0.43,0.00,1.00,0.67,0.53,0.81,0.81,0.81",31,1.16,0.16,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",187
basil heyden,Navigational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.01",28,0.00,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",197
is basil hayden good,Informational,210,"0.20,0.32,0.44,0.28,0.44,0.44,1.00,0.32,0.44,0.44,0.52,0.44",14,2.21,0.27,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches",178
basel haden whiskey,Navigational,170,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00",26,0.51,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",197
basil bourbon whiskey,Commercial,170,"0.23,0.28,0.35,0.53,0.53,0.35,0.82,1.00,0.28,0.35,0.43,0.43",6,0.61,1.00,"Sitelinks, Reviews, Image pack, People also ask, Related searches, Popular products",196
basil hayden bourbon 10 year,"Informational, Commercial",170,"0.28,0.43,0.35,0.54,0.35,0.54,1.00,0.43,0.54,0.28,0.43,0.54",5,0.65,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",253
basil hayden bourbon mash bill,Informational,170,"0.42,0.65,0.53,1.00,0.80,0.80,1.00,0.80,0.53,0.53,0.53,0.53",14,3.00,0.17,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",130
basil hayden bourbon whiskey price,Transactional,170,"1.00,0.10,0.10,0.24,0.19,0.15,0.15,0.24,0.10,0.15,0.13,0.07",15,0.67,0.92,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",189
basil hayden mash bill,"Informational, Commercial",170,"0.42,0.42,0.42,1.00,0.80,1.00,0.80,0.80,0.53,0.53,0.53,1.00",18,3.00,0.17,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",130
basil hayden's bourbon whiskey brand website,"Informational, Navigational",170,"0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",24,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches",320000
basil hayden's bourbon whiskey size: 750 ml,Commercial,170,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",3,0.00,0.00,"Sitelinks, People also ask, Related searches, Popular products",203
basil hayden's small batch bourbon,"Informational, Commercial",170,"0.19,0.23,0.23,0.44,0.29,0.06,1.00,0.54,0.29,0.35,0.35,0.10",18,1.18,0.98,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",194
basil haydens review,Commercial,170,"0.00,0.00,0.06,0.43,0.54,0.43,1.00,0.81,0.43,0.35,0.43,0.35",12,0.75,0.40,"AI Overview, Reviews, Video carousel, People also ask, Related searches",179
small batch basil hayden,"Informational, Commercial",170,"0.35,0.25,0.35,0.40,0.55,0.55,1.00,0.65,0.35,0.40,0.25,0.35",19,1.41,0.32,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",190
what is basil hayden,"Informational, Navigational",170,"0.52,0.66,0.66,0.80,1.00,0.80,1.00,0.66,0.66,0.80,0.80,1.00",23,3.00,0.31,"Sitelinks, AI Overview, People also ask, Related searches",106
basil hayden 10,"Informational, Commercial",140,"0.52,0.80,0.41,0.64,0.41,0.52,1.00,0.41,0.34,0.41,0.52,0.52",13,1.10,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",187
basil hayden 10 year price,Transactional,140,"0.41,0.52,0.41,0.52,0.52,0.64,1.00,0.52,0.34,0.34,0.34,0.52",6,0.59,0.97,"Image, Image pack, People also ask, Related searches, Popular products",178
basil hayden bourbon costco,Commercial,140,"0.42,0.53,0.42,0.42,0.42,0.65,1.00,0.53,0.34,0.26,0.42,0.42",21,1.18,0.86,"Sitelinks, AI Overview, Video, People also ask, Related searches",168
basil hayden bourbon logo,"Informational, Navigational",140,"0.21,0.34,0.43,0.28,0.43,0.65,1.00,0.53,0.43,0.43,0.43,0.53",26,0.00,0.02,"Sitelinks, Image pack, People also ask, Related searches",172
basil hayden costco,Informational,140,"0.42,0.65,0.42,0.53,0.42,0.65,1.00,0.53,0.35,0.26,0.42,0.53",19,1.18,0.86,"AI Overview, Image, Image pack, Video, People also ask, Related searches",168
basil hayden kentucky bourbon,"Navigational, Commercial",140,"0.42,0.53,0.53,0.34,0.42,0.53,1.00,0.42,0.42,0.34,0.34,0.42",26,1.44,0.99,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",193
basil hayden near me,Transactional,140,"0.28,0.43,0.43,0.28,0.43,0.52,1.00,0.34,0.28,0.34,0.34,0.43",11,1.29,1.00,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, Popular products",3900000
basil hayden total wine,Navigational,140,"0.31,0.31,0.44,0.31,0.44,0.50,1.00,0.31,0.44,0.31,0.25,0.50",23,0.66,0.52,"Sitelinks, Image, Video, People also ask, Related searches, Popular products",166
basil hayden's 80 proof bourbon whiskey,Commercial,140,"0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",21,0.00,0.00,"Sitelinks, Reviews, People also ask, Related searches, Popular products",197
basil hayden's kentucky bourbon whiskey,"Informational, Commercial",140,"0.53,0.65,0.80,0.35,0.42,0.00,1.00,0.53,0.42,0.42,0.42,0.26",25,1.21,0.90,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",196
basil hayden's reviews,Commercial,140,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",10,0.67,0.32,"Reviews, Video carousel, People also ask, Discussions and forums, Related searches",192
where is basil hayden made,Informational,140,"0.63,0.88,1.00,0.63,0.63,0.63,1.00,0.63,0.38,0.38,0.88,0.63",29,3.00,0.15,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",103
basil haven,"Informational, Navigational",110,"0.65,0.83,0.65,0.83,0.65,0.65,1.00,0.52,0.39,0.52,0.52,0.65",28,0.40,0.96,"Sitelinks, AI Overview, People also ask, Related searches",136
basil hayden 10 years,Commercial,110,"0.00,0.00,0.00,0.00,1.00,0.03,0.01,0.00,0.00,0.00,0.00,0.06",9,0.48,1.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",191
basil hayden 75,Informational,110,"0.06,0.06,0.06,0.34,0.34,0.43,0.81,0.43,0.34,0.34,0.65,1.00",15,1.14,0.50,"Image pack, Video carousel, People also ask, Related searches, Popular products",193
basil hayden 750ml price,Transactional,110,"0.21,0.21,0.21,0.21,0.28,0.43,1.00,0.34,0.28,0.34,0.43,0.43",9,0.47,0.99,"Reviews, People also ask, Related searches, Popular products",172
basil hayden bottle,"Informational, Transactional",110,"0.65,0.65,0.65,0.65,0.65,0.65,1.00,0.53,0.65,0.53,0.41,0.65",16,0.69,1.00,"Sitelinks, Image pack, People also ask, Related searches, Popular products",200
basil hayden bourbon toast,"Informational, Commercial",110,"0.11,0.26,0.34,0.42,0.42,0.42,1.00,0.42,0.42,0.42,0.34,0.34",8,0.75,0.92,"AI Overview, Reviews, Video carousel, People also ask, Related searches, Popular products",192
basil hayden caribbean reserve rye,"Informational, Transactional",110,"0.33,0.23,0.23,0.66,0.42,0.52,1.00,0.66,0.52,0.42,0.66,0.80",10,2.06,1.00,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products",184
basil hayden caribbean rye,Commercial,110,"0.50,0.63,1.00,0.81,0.63,0.63,0.63,0.38,0.31,0.31,0.31,0.38",8,2.14,1.00,"Sitelinks, Reviews, Video, People also ask, Related searches, Popular products",180
basil hayden golden rye,"Informational, Commercial",110,"0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.09,0.88,0.32,1.00,0.88",4,3.00,1.00,"AI Overview, Reviews, People also ask, Related searches, Popular products",198
basil hayden kentucky,"Informational, Transactional",110,"0.79,0.64,0.64,0.64,0.49,0.64,1.00,1.00,0.79,0.79,0.79,0.79",5,1.21,0.90,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",194
basil hayden logo,"Informational, Navigational",110,"0.79,0.79,0.79,1.00,0.79,0.64,0.64,0.79,0.50,0.64,0.64,0.64",22,0.00,0.08,"Sitelinks, Image pack, People also ask, Related searches",168
basil hayden price costco,Transactional,110,"0.42,0.35,0.35,0.35,0.42,0.65,1.00,0.53,0.26,0.26,0.42,0.42",16,1.18,0.86,"Sitelinks, Video, People also ask, Related searches",171
basil hayden proof,Informational,110,"0.52,0.66,0.42,0.80,0.33,0.66,0.42,0.42,0.33,0.52,0.52,1.00",21,3.00,0.36,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",197
basil hayden rye whiskey,"Informational, Transactional",110,"0.17,0.31,0.52,0.52,0.52,1.00,0.79,0.52,0.41,0.52,0.31,0.66",11,1.37,1.00,"Sitelinks, Reviews, Image pack, People also ask, Related searches, Popular products",198
basil hayden straight bourbon,"Informational, Commercial",110,"0.53,0.43,0.53,0.43,0.43,0.66,1.00,0.66,0.53,0.53,0.53,0.43",21,1.06,1.00,"Sitelinks, AI Overview, Reviews, Image, People also ask, Related searches, Popular products",193
basil hayden's bourbon review,Commercial,110,"0.77,0.77,0.62,0.62,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",11,0.67,0.32,"AI Overview, Reviews, Video carousel, People also ask, Related searches",179
basil hayden's kentucky whiskey,Commercial,110,"0.53,0.35,0.26,0.35,0.42,0.00,1.00,0.53,0.42,0.42,0.42,0.26",25,1.21,0.90,"Sitelinks, Video carousel, People also ask, Related searches, Popular products",193
basil hayden's price,Transactional,110,"0.81,0.03,0.06,0.11,0.03,0.00,0.28,0.81,0.00,0.53,1.00,0.53",5,0.67,0.92,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",191
