Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
applejack cocktails,Informational,880,"0.37,0.20,0.08,0.46,1.00,1.00,0.37,0.46,0.16,0.37,0.20,0.20",19,0.33,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Recipes, Related searches, People also search"
cocktail applejack,Informational,880,"0.52,0.07,0.07,0.52,1.00,1.00,0.52,0.46,0.25,0.37,0.25,0.16",24,1.82,0.02,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Recipes, Related searches, People also search, Popular products"
copper and kings brandy,"Informational, Commercial",880,"0.56,0.77,0.37,0.44,0.77,0.56,0.30,1.00,0.77,1.00,1.00,1.00",13,1.33,0.22,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products"
e&j apple,Informational,880,"0.67,0.67,0.56,0.67,0.76,0.76,1.00,0.67,0.56,0.44,0.30,0.30",11,1.30,0.76,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
lairds applejack,Navigational,880,"0.14,0.54,0.68,0.14,0.68,0.86,0.46,0.18,0.68,0.46,0.29,1.00",21,0.34,0.50,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
apple alcohol,Commercial,720,"0.89,0.73,0.73,0.73,1.00,0.89,0.73,0.73,0.48,0.58,0.73,0.89",31,1.17,0.51,"Sitelinks, Image pack, Video, People also ask, Recipes, Related searches, Popular products"
apple brandy cocktail,Informational,720,"0.24,0.55,0.30,0.55,1.00,0.82,0.62,0.36,0.20,0.24,0.30,0.20",28,0.00,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Recipes, Related searches"
apple brandy from france,"Informational, Commercial",720,"0.62,1.00,0.30,0.45,0.81,0.13,0.30,0.62,0.20,0.24,0.04,0.30",26,1.23,0.08,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
apple.jacks,"Informational, Commercial",720,"0.88,0.88,1.00,0.88,0.00,0.72,0.59,0.59,0.59,0.59,0.59,0.59",37,1.22,0.17,"Sitelinks, Video, People also ask, Discussions and forums, Popular products"
how to make brandy,Informational,720,"0.89,0.73,0.89,0.73,0.73,0.58,1.00,0.58,0.48,0.58,0.58,0.58",15,0.03,0.08,"Sitelinks, AI Overview, Video carousel, People also ask, Recipes, Related searches"
lairds apple brandy,"Navigational, Commercial",720,"0.37,0.44,0.56,0.44,0.44,1.00,0.76,0.76,0.76,0.56,0.44,0.67",18,0.65,0.98,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
apple jack drink,Informational,590,"0.11,0.11,0.20,0.13,0.46,0.31,1.00,0.52,0.46,0.13,0.11,0.25",26,0.43,0.25,"AI Overview, Video, People also ask, Knowledge panel, Recipes, Discussions and forums, Related searches, People also search"
apple jack liquor,Commercial,590,"0.21,0.21,0.75,0.21,0.08,1.00,0.33,0.75,0.33,0.42,0.67,0.00",38,1.28,0.26,"Sitelinks, Image pack, People also ask, Local pack, Related searches, Popular products"
apple liquors,Commercial,590,"0.39,0.48,0.72,0.72,1.00,1.00,1.00,0.48,0.39,0.39,0.59,0.88",11,1.10,0.89,"Sitelinks, People also ask, Local pack, Related searches, Popular products"
jack alcohol,Informational,590,"0.55,0.67,1.00,0.67,0.55,0.67,0.67,0.82,0.55,0.67,1.00,0.82",17,0.00,0.29,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
laird's apple brandy,"Navigational, Commercial",590,"0.32,0.59,0.39,0.47,0.88,1.00,0.88,0.88,0.39,0.59,0.21,0.47",18,0.65,0.98,"Sitelinks, People also ask, Related searches, Popular products"
lairds apple jack,Navigational,590,"0.46,0.13,0.13,1.00,0.07,0.11,0.25,0.16,0.11,0.37,0.07,0.13",30,0.61,0.60,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
applejack beverage,Commercial,480,"0.16,0.30,0.55,1.00,0.36,0.20,0.30,1.00,0.30,0.24,0.30,0.20",25,0.43,0.25,"Sitelinks, Video, Local pack, Knowledge panel, Related searches, People also search, Popular products"
copper & kings american brandy,Transactional,480,"0.41,0.02,0.24,1.00,0.08,0.03,0.03,0.08,0.03,0.06,0.05,0.05",13,1.33,0.22,"Sitelinks, Image, People also ask, Related searches, Popular products"
copper and kings american brandy,"Informational, Commercial",480,"0.14,0.44,0.28,0.36,0.56,0.28,0.28,0.67,0.28,1.00,0.83,0.44",13,1.06,0.33,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products"
how do you make brandy,Informational,480,"0.66,0.66,1.00,1.00,1.00,0.54,1.00,0.54,0.54,0.66,0.54,0.54",22,0.03,0.08,"Sitelinks, AI Overview, Video carousel, People also ask, Recipes, Related searches"
kilian apple brandy on the rocks,"Informational, Transactional",480,"0.08,0.13,0.16,0.20,0.16,0.16,0.20,0.16,0.11,0.20,0.20,1.00",16,0.49,1.00,"Sitelinks, Reviews, Video, Video carousel, People also ask, Knowledge panel, Related searches"
apple jakc,Commercial,390,"0.66,0.81,0.81,0.81,1.00,0.81,0.81,0.81,0.00,0.00,0.00,0.00",41,1.14,0.01,"Reviews, Image, Video carousel, People also ask, Local pack, Knowledge panel, Discussions and forums, Related searches, Popular products"
applejack cocktail,Informational,390,"1.00,0.44,0.55,0.65,0.82,1.00,0.65,0.44,0.65,0.24,0.36,0.55",22,1.82,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Recipes, Related searches, People also search"
brandy on the rocks,Informational,390,"0.44,0.67,1.00,0.82,0.82,1.00,1.00,0.82,0.67,0.67,0.67,1.00",33,1.16,0.04,"Sitelinks, AI Overview, Reviews, Image pack, Video carousel, People also ask, Related searches"
what is applejack,Informational,390,"0.44,0.65,0.65,0.65,0.65,1.00,1.00,0.44,0.29,0.29,0.65,0.65",32,0.00,0.10,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
american apple brandy,"Informational, Commercial",320,"0.02,0.02,0.11,0.88,0.72,1.00,0.88,0.14,0.04,0.07,0.03,0.11",12,0.00,0.35,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
apple brandy cocktails,Informational,320,"0.22,0.67,0.53,1.00,1.00,1.00,0.80,0.53,0.53,0.44,0.53,0.44",26,0.00,0.01,"Sitelinks, AI Overview, Image, Video, People also ask, Knowledge panel, Recipes, Related searches, People also search"
apple j,"Informational, Transactional",320,"0.53,0.66,0.82,0.66,0.82,1.00,0.82,0.66,0.66,1.00,0.82,0.66",10,0.00,0.28,"People also ask, Knowledge panel, Related searches, People also search, Popular products"
apple jack drinks,Informational,320,"0.35,0.35,0.66,0.54,0.81,1.00,0.81,0.54,0.35,0.28,0.35,0.35",23,0.32,0.24,"AI Overview, Image, Video carousel, People also ask, Knowledge panel, Recipes, Related searches, People also search, Popular products"
apple jacks liquor,"Navigational, Commercial",320,"0.54,1.00,0.62,0.23,0.23,0.31,0.62,0.31,0.38,0.38,0.23,0.38",61,2.37,0.31,"Sitelinks, People also ask, Local pack, Related searches, Popular products"
kilian on the rocks,"Informational, Transactional",320,"0.06,0.12,0.23,0.29,0.23,0.81,1.00,0.81,0.66,0.66,0.54,0.66",22,0.46,1.00,"Sitelinks, Reviews, Image pack, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches"
laird apple brandy,"Navigational, Commercial",320,"0.05,0.14,0.05,0.21,0.26,0.26,0.48,1.00,0.88,0.26,0.14,0.26",19,0.65,0.98,"Sitelinks, People also ask, Related searches, Popular products"
laird company,Navigational,320,"0.44,0.36,0.54,0.54,0.54,0.66,0.54,0.54,0.23,0.29,0.36,1.00",42,0.00,0.07,"Sitelinks, Reviews, People also ask, Local pack, Knowledge panel, Related searches"
apple brandu,Informational,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",16,0.00,0.00,"Sitelinks, AI Overview, Image, Video, People also ask, Recipes, Related searches, Popular products"
apple brandy perfume,Informational,260,"0.44,0.54,0.81,0.54,0.81,0.81,1.00,0.44,0.29,0.44,0.35,0.54",25,0.32,1.00,"AI Overview, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, Popular products"
apple e and j,Commercial,260,"0.54,0.44,0.67,0.67,0.54,0.36,1.00,0.82,0.44,0.54,0.18,0.82",7,0.65,0.69,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
apple ej,"Informational, Commercial",260,"0.33,1.00,0.80,0.33,0.33,0.67,1.00,0.20,0.03,0.03,0.03,0.03",8,0.00,0.52,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products"
apple jack cocktail,Informational,260,"0.54,0.11,0.18,0.44,1.00,1.00,0.44,0.35,0.15,0.28,0.15,0.11",26,0.33,0.01,"AI Overview, Image, Video, People also ask, Knowledge panel, Recipes, Related searches, People also search"
apple jacl,Transactional,260,"0.00,0.00,0.10,0.00,0.00,0.00,1.00,0.00,0.45,0.76,0.00,0.67",48,1.14,0.01,"Reviews, Image, Video carousel, People also ask, Local pack, Knowledge panel, Discussions and forums, Related searches, Popular products"
applejack alcohol,Informational,260,"0.65,0.80,0.55,0.65,1.00,1.00,0.40,0.65,0.35,0.55,0.40,0.55",26,0.00,0.37,"AI Overview, Video, Short videos, People also ask, Knowledge panel, Related searches, People also search, Popular products"
applejack jack daniels,"Informational, Commercial",260,"0.06,0.05,0.06,1.00,0.05,0.10,0.06,0.30,0.06,0.10,0.10,0.20",10,0.00,0.98,"AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
applejack whiskey,Informational,260,"0.88,0.88,0.63,0.63,1.00,0.88,0.88,0.63,0.63,0.63,0.63,0.63",24,0.00,0.98,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
e&j apple brandy,Commercial,260,"0.67,0.35,0.67,0.55,0.67,1.00,0.55,0.82,0.29,0.18,0.29,0.44",8,1.01,0.96,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
jack daniels apple jack,Informational,260,"0.22,0.22,0.22,1.00,0.67,0.44,0.56,0.83,0.22,0.28,0.28,0.56",9,0.00,0.92,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches, Popular products"
killian apple brandy,"Informational, Transactional",260,"0.02,0.28,0.17,0.35,0.43,1.00,0.43,0.09,0.35,0.02,1.00,0.17",16,0.39,1.00,"Reviews, Image pack, Video, People also ask, Knowledge panel, Related searches"
laird applejack,"Navigational, Commercial",260,"0.15,0.15,0.15,0.23,0.23,0.62,0.23,0.38,0.23,0.15,1.00,0.23",39,0.34,0.50,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
laird's,Navigational,260,"0.05,0.02,0.00,1.00,0.07,0.07,0.77,0.36,0.02,0.02,0.00,0.07",24,2.06,0.77,"Sitelinks, Reviews, Image, People also ask, Local pack, Related searches, Popular products"
laird's applejack is applejack a flavor here,"Informational, Navigational",260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",9,0.00,0.00,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
lairds applejack 750ml,"Informational, Commercial",260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",11,0.00,0.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
lairds blended applejack,"Informational, Transactional",260,"0.04,0.03,0.03,0.04,0.16,0.13,0.24,0.13,0.16,0.55,0.24,1.00",5,0.00,0.02,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products, Things to know"
paul masson apple brandy,Informational,260,"0.54,0.28,1.00,0.81,0.28,0.43,0.43,0.22,0.19,0.19,0.28,0.28",5,0.00,0.87,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
spiced apple cognac fragrance,Commercial,260,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",8,0.00,0.00,"Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
what is an applejack,Informational,260,"0.67,0.81,0.81,0.35,1.00,0.35,0.29,1.00,0.10,0.81,0.67,0.19",32,0.00,0.07,"AI Overview, Video, People also ask, Related searches"
apple brandy cologne,"Informational, Transactional",210,"0.80,0.54,0.80,0.54,0.80,0.54,1.00,1.00,0.80,1.00,0.80,0.80",13,0.32,1.00,"Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
apple brandy prime cuts,Navigational,210,"0.43,0.52,0.66,0.82,1.00,0.66,0.82,0.43,0.27,0.52,0.52,0.52",3,0.00,0.01,"Sitelinks, People also ask, Knowledge panel, Related searches"
apple brandy recipe,Informational,210,"0.52,0.23,0.82,1.00,1.00,0.82,0.52,0.52,0.43,0.27,0.27,0.27",21,0.00,0.02,"AI Overview, Image, Video, Video carousel, People also ask, Recipes, Related searches"
applejack lairds,"Navigational, Commercial",210,"1.00,0.00,0.00,0.00,0.00,0.07,0.00,0.36,0.36,0.24,0.55,0.00",20,0.34,0.50,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
laird and company,Navigational,210,"0.29,0.54,0.54,0.35,0.54,0.54,0.35,0.54,0.35,0.43,0.35,1.00",41,0.00,0.25,"Sitelinks, Reviews, People also ask, Local pack, Knowledge panel, Related searches"
laird's blended applejack,Informational,210,"0.04,0.04,0.03,0.04,0.10,0.00,0.24,0.13,0.16,0.55,0.24,1.00",18,0.00,0.02,"Sitelinks, AI Overview, Reviews, People also ask, Local pack, Related searches, Popular products"
apple alcoholic beverages,Informational,170,"0.64,0.19,0.64,0.33,0.28,0.64,1.00,0.42,0.33,0.53,0.64,1.00",28,0.00,0.58,"Sitelinks, People also ask, Recipes, Related searches, Popular products"
apple and jack,Informational,170,"0.53,0.53,0.53,0.65,0.65,0.53,0.53,0.80,0.65,1.00,0.80,1.00",20,0.00,0.02,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
apple brandy killian,"Informational, Transactional",170,"0.06,0.15,0.18,0.43,0.28,0.66,1.00,0.22,0.18,0.18,0.22,0.22",16,0.43,1.00,"Reviews, Image, Video, People also ask, Knowledge panel, Discussions and forums, Related searches"
apple jac,Informational,170,"0.02,0.02,0.02,0.22,0.54,0.18,0.22,0.22,0.66,1.00,1.00,0.29",30,1.22,0.17,"AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
apple jack shot,Informational,170,"0.80,0.51,0.66,1.00,1.00,0.66,0.66,0.80,0.51,0.51,0.51,0.51",19,0.00,0.33,"AI Overview, Image, Image pack, Video, Recipes, Related searches"
applejack drinks,Informational,170,"0.64,0.25,0.52,0.80,1.00,1.00,1.00,0.64,0.34,0.41,0.25,0.41",17,0.43,0.25,"AI Overview, Image, Video carousel, People also ask, Knowledge panel, Recipes, Related searches, People also search, Popular products"
applejack wine and spirits colorado,Navigational,170,"0.29,0.18,0.14,0.18,0.81,0.81,0.00,1.00,0.14,0.14,0.22,0.18",40,1.61,0.12,"Sitelinks, People also ask, Local pack, Related searches"
applejack's,Navigational,170,"0.03,0.03,0.02,0.00,0.03,0.00,0.00,0.00,1.00,0.00,0.00,0.00",59,3.87,0.02,"Sitelinks, Image pack, Video carousel, People also ask, Local pack, Related searches"
best apple brandy,Commercial,170,"0.22,0.28,0.35,0.67,0.67,1.00,0.81,0.35,0.28,0.28,0.28,0.28",18,0.00,0.89,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
calvados substitute,"Informational, Commercial",170,"0.27,0.43,0.43,0.66,0.82,1.00,0.82,0.66,0.43,0.43,0.43,0.34",21,0.00,0.05,"AI Overview, People also ask, Related searches"
colkegan apple brandy cask finished 750ml,Commercial,170,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",1,0.00,0.00,"Sitelinks, Video"
e & j apple,"Informational, Commercial",170,"0.65,0.80,0.80,0.54,1.00,0.54,0.65,0.54,0.41,0.41,0.41,0.54",11,0.00,0.88,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
jack apples,Informational,170,"0.65,0.53,0.65,0.80,1.00,0.65,0.80,0.80,0.42,1.00,0.80,0.80",19,0.00,0.50,"AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
laird and co,Navigational,170,"0.35,0.43,0.53,0.28,0.53,0.53,0.43,0.66,0.43,0.43,0.43,1.00",49,0.00,0.25,"Sitelinks, People also ask, Knowledge panel, Related searches"
laird and company applejack,Navigational,170,"0.35,0.35,0.23,0.15,0.06,0.08,0.11,0.23,0.18,1.00,0.54,0.35",28,0.00,0.01,"Sitelinks, People also ask, Related searches"
laird apple jack,"Navigational, Commercial",170,"0.00,0.00,0.00,0.00,0.10,0.05,1.00,0.00,0.00,0.00,0.00,0.01",19,0.34,0.50,"Sitelinks, People also ask, Related searches, Popular products"
laird's applejack brandy,Navigational,170,"0.14,0.35,0.35,0.08,0.35,0.54,1.00,0.43,0.14,0.22,0.29,0.29",18,0.00,0.94,"Sitelinks, People also ask, Related searches, Popular products"
lairds distillery,Navigational,170,"0.43,0.43,0.43,0.81,1.00,0.81,0.33,0.20,0.15,0.43,0.33,0.52",26,0.00,0.09,"Sitelinks, People also ask, Knowledge panel, Related searches"
