Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
what to mix with crown royal chocolate,Informational,390,"0.00,0.02,1.00,0.67,0.45,0.36,0.67,0.16,0.16,0.08,0.10,0.08",11,0.00,0.01,"AI Overview, Video carousel, People also ask, Recipes, Discussions and forums, Related searches"
how much is crown royal whiskey,Informational,320,"0.16,0.04,0.20,0.30,0.08,1.00,0.10,0.06,0.06,0.08,0.05,0.05",24,0.38,0.40,"Sitelinks, People also ask, Related searches, Popular products"
is crown royal a whiskey,Navigational,320,"0.00,0.73,0.26,0.13,0.16,1.00,0.13,0.21,0.39,0.08,0.89,0.39",34,0.00,0.01,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
is crown royal whiskey or bourbon,Informational,320,"0.67,0.67,1.00,0.81,0.44,1.00,0.54,0.35,1.00,0.44,0.44,0.81",8,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
where to buy royal crown cola,Transactional,320,"0.67,0.53,0.82,0.53,1.00,0.82,1.00,0.82,0.82,1.00,1.00,0.82",21,0.26,0.90,"Sitelinks, AI Overview, People also ask, Local pack, Related searches, Popular products"
does crown royal have sugar,Informational,260,"0.80,0.80,0.65,0.80,0.65,0.80,1.00,0.80,0.65,0.65,0.65,0.65",9,0.00,0.33,"AI Overview, Reviews, People also ask, Related searches"
how many calories are in crown royal whiskey,Informational,260,"1.00,0.43,0.34,0.43,0.53,0.81,0.81,1.00,0.65,1.00,1.00,0.65",7,0.00,0.33,"People also ask, Related searches"
how many calories in a shot of crown royal,Informational,260,"0.80,0.80,0.80,0.65,0.65,0.65,0.65,1.00,0.80,0.80,0.80,1.00",11,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
how many calories in crown royal,Informational,260,"0.54,0.54,0.67,0.81,0.67,0.67,0.67,1.00,0.67,0.81,0.81,0.67",11,0.00,0.33,"People also ask, Related searches"
how much does crown royal cost,Informational,260,"0.35,0.28,0.35,0.35,0.44,0.54,1.00,0.28,0.23,0.35,0.35,0.44",10,0.26,0.36,"Sitelinks, People also ask, Related searches, Popular products"
how much is a fifth of crown royal,"Informational, Commercial",260,"0.44,0.55,0.55,0.55,0.67,0.67,1.00,0.55,0.44,0.55,0.44,0.67",9,0.00,0.60,"Sitelinks, People also ask, Related searches, Popular products"
how to train your dragon crown royal,Informational,260,"1.00,0.24,0.07,0.02,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",23,0.00,0.33,"Sitelinks, Video carousel, People also ask, Related searches"
is crown royal a good whiskey,Informational,260,"0.28,0.28,0.28,0.35,0.35,0.54,1.00,0.44,0.35,0.35,0.28,0.28",3,0.00,0.10,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches"
is crown wiskey,Informational,260,"0.00,0.00,0.00,0.00,0.01,0.01,1.00,0.00,0.00,0.00,0.00,0.00",32,0.00,0.00,"Sitelinks, AI Overview, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
what is crown royal made of,Informational,260,"0.67,0.67,0.82,0.67,0.67,1.00,1.00,0.67,0.42,0.53,0.53,0.82",15,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
what is crown royal marquis,Informational,260,"0.15,0.15,0.15,0.09,0.09,0.09,1.00,0.66,0.44,0.36,0.36,0.23",20,0.07,0.23,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Related searches"
what is crown royal whiskey,Informational,260,"0.36,0.08,1.00,0.28,0.44,0.14,0.44,0.36,0.08,0.44,0.44,0.44",21,0.00,0.05,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products"
what is in crown royal,Informational,260,"0.06,0.43,0.02,0.66,0.81,0.66,1.00,0.81,0.54,0.81,0.54,0.81",34,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
what is in crown royal whiskey,Informational,260,"0.19,0.19,0.15,0.15,0.23,1.00,0.29,0.35,0.10,0.44,0.44,0.44",21,0.00,0.05,"Sitelinks, AI Overview, People also ask, Knowledge panel, Related searches, People also search"
what's crown royal,Informational,260,"0.04,0.03,0.02,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00",8,0.80,0.05,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
who makes crown royal,Informational,260,"0.53,0.43,0.53,1.00,0.80,0.80,1.00,0.67,0.33,0.43,0.43,0.53",25,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
who owns crown royal whiskey,Informational,260,"0.22,0.43,0.35,0.66,0.54,0.66,1.00,0.54,0.43,0.22,0.43,0.29",33,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
how many calories crown royal,Informational,210,"1.00,0.44,0.33,0.44,0.53,0.82,0.82,1.00,0.65,1.00,1.00,0.65",9,0.00,0.33,"AI Overview, Reviews, People also ask, Related searches"
how many calories is in crown royal,Informational,210,"1.00,0.43,0.28,0.43,0.52,0.15,0.28,1.00,0.65,1.00,0.34,0.09",12,0.00,0.33,"People also ask, Related searches"
how much sugar in crown royal whiskey,Informational,210,"0.42,0.42,0.80,0.34,0.80,1.00,1.00,1.00,0.80,0.80,0.80,1.00",8,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
how much sugar is in crown royal,Informational,210,"1.00,0.80,0.80,0.80,0.80,0.80,1.00,1.00,0.80,0.80,0.80,1.00",8,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
is crown a whiskey,Informational,210,"0.52,0.80,0.52,0.65,0.65,0.65,1.00,0.65,0.52,0.52,0.65,0.80",26,0.00,0.02,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Related searches, People also search"
is crown royal a good whisky,"Informational, Commercial",210,"0.28,0.28,0.28,0.35,0.35,0.54,1.00,0.44,0.28,0.00,0.28,0.23",2,0.33,0.17,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
is crown royal moving to the us,Informational,210,"0.00,0.00,0.39,1.00,0.14,0.59,0.14,0.09,0.04,0.02,0.02,0.14",34,0.00,0.33,"AI Overview, Video carousel, People also ask, Related searches"
what goes good with crown royal,Informational,210,"0.53,0.42,0.42,0.42,0.42,0.67,1.00,0.67,0.42,0.35,0.42,0.42",23,1.24,0.02,"AI Overview, Video, Short videos, People also ask, Discussions and forums, Related searches"
what is crown liquor,Informational,210,"0.44,0.82,0.53,0.65,0.82,0.82,1.00,0.82,0.53,0.65,0.65,1.00",21,0.00,0.02,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
what mixes well with crown royal,Informational,210,"0.50,0.44,0.50,0.50,0.50,0.63,1.00,0.63,0.50,0.50,0.50,0.63",10,1.54,0.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
what mixes with apple crown royal,Informational,210,"0.35,0.35,0.17,0.35,0.43,0.66,1.00,0.66,0.35,0.43,0.53,0.35",23,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Recipes, Related searches"
what to mix with crown apple royal,Informational,210,"0.35,0.35,0.17,0.35,0.43,0.66,1.00,0.66,0.35,0.43,0.53,0.35",15,0.00,0.01,"AI Overview, Video carousel, Short videos, People also ask, Recipes, Related searches"
what to mix with crown royal apple,Informational,210,"0.43,0.65,0.52,0.52,0.65,0.81,1.00,0.43,0.33,0.52,0.65,0.65",15,0.00,0.01,"AI Overview, Video, Video carousel, People also ask, Related searches"
where was crown royal made,Informational,210,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.76,0.76,0.00",30,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
who makes crown royal whiskey,Informational,210,"0.52,0.43,0.52,1.00,0.66,0.82,1.00,0.66,0.34,0.43,0.34,0.43",28,0.00,0.02,"Sitelinks, AI Overview, People also ask, Related searches"
can crown royal freeze,Informational,170,"0.53,0.53,0.53,0.53,0.53,0.53,1.00,0.53,0.43,0.43,0.43,0.43",23,0.00,0.33,"Video carousel, Short videos, People also ask, Related searches"
can crown royal go bad,Informational,170,"0.34,0.80,0.52,0.52,0.64,0.64,1.00,0.64,0.52,0.80,0.80,1.00",13,0.00,0.01,"AI Overview, Video carousel, People also ask, Related searches"
does crown royal freeze,Informational,170,"0.43,0.43,0.65,0.43,0.65,0.53,1.00,0.53,0.34,0.43,0.43,0.43",24,0.00,0.33,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Related searches"
how many carbs in crown royal,Informational,170,"0.79,1.00,0.79,0.66,0.66,0.66,0.52,1.00,0.79,0.79,0.66,0.79",11,0.00,0.33,"AI Overview, People also ask, Related searches"
how many carbs in crown royal whiskey,Informational,170,"0.81,0.66,0.81,0.81,0.53,0.66,0.53,1.00,0.81,0.81,0.66,0.81",7,0.00,0.33,"Sitelinks, AI Overview, Reviews, People also ask, Related searches"
how much alcohol is in crown royal,Informational,170,"0.65,0.65,0.44,0.44,0.53,0.82,1.00,0.65,0.53,0.44,0.33,0.44",16,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
how much is a pint of crown royal,Informational,170,"0.53,0.65,0.80,0.42,0.80,0.80,1.00,0.35,0.35,0.26,0.65,0.80",5,0.00,0.60,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
is crown royal a canadian whiskey,Informational,170,"0.67,0.22,0.54,1.00,0.67,0.02,0.22,0.17,0.11,0.11,0.11,0.11",15,0.00,0.03,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
is crown royal bourbon or whiskey,Informational,170,"0.65,0.65,0.65,0.33,0.20,0.20,0.43,1.00,0.65,0.65,0.81,0.52",7,0.00,0.04,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal cognac,Informational,170,"0.53,0.53,0.53,0.42,0.53,0.80,1.00,0.80,0.53,0.53,0.53,0.65",6,0.00,0.03,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal good,Informational,170,"0.42,0.35,0.42,0.42,0.53,0.67,1.00,0.42,0.35,0.27,0.35,0.42",1,0.00,0.08,"AI Overview, Video carousel, People also ask, Related searches"
is crown royal whiskey good,"Informational, Commercial",170,"0.35,0.53,0.42,0.23,0.42,0.67,1.00,0.42,0.35,0.35,0.35,0.35",0,0.00,0.08,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches"
what alcohol is crown royal,Informational,170,"0.65,0.53,0.65,0.53,0.80,0.80,1.00,0.65,0.42,0.53,0.65,0.80",33,0.00,0.01,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Related searches"
what is crown royal considered,Informational,170,"0.35,0.27,0.35,0.35,0.42,0.67,1.00,0.53,0.35,0.35,0.35,0.35",8,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
what is crown royal good to mix with,Informational,170,"0.43,0.23,0.17,0.28,0.43,0.66,1.00,0.66,0.43,0.53,0.43,0.43",10,1.54,0.04,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
what is the proof of crown royal,Informational,170,"0.67,0.42,0.67,0.42,0.51,0.81,1.00,0.81,0.51,0.81,0.81,0.67",6,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
what to mix with crown royal whiskey,Informational,170,"0.53,0.42,0.33,0.64,0.81,0.14,0.19,0.00,0.81,1.00,0.11,0.08",16,0.89,0.04,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches"
where is royal crown cola made,Informational,170,"0.81,0.66,0.81,0.81,1.00,0.66,0.81,0.66,0.53,0.66,0.81,0.81",24,0.00,0.33,"Sitelinks, AI Overview, Video, People also ask, Related searches"
who is the ceo of royalselect.com,Informational,170,"0.00,0.20,0.08,1.00",9,0.00,0.00,"AI Overview, Video, People also ask"
who makes royal crown cola,Informational,170,"0.29,0.14,1.00,0.23,0.18,0.23,0.18,0.29,0.23,0.44,0.23,0.23",31,0.00,0.33,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
are crown royal bags worth anything,"Informational, Commercial",140,"0.66,0.80,0.80,0.80,1.00,0.66,0.66,0.52,0.66,0.66,0.52,0.52",23,0.00,0.02,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products"
did crown royal move to the us,Informational,140,"0.00,0.00,0.01,1.00,0.01,0.08,0.01,0.01,0.01,0.01,0.01,0.01",37,0.00,0.33,"AI Overview, Video, People also ask, Related searches"
does crown royal have gluten,Informational,140,"0.52,0.52,0.66,0.66,0.66,0.66,1.00,0.52,0.42,0.42,0.33,0.42",7,0.00,0.33,"AI Overview, Reviews, People also ask, Related searches"
how long is crown royal aged,Informational,140,"0.67,0.67,0.67,0.67,0.81,0.67,1.00,0.51,0.51,0.51,0.42,0.42",19,0.00,0.02,"AI Overview, People also ask, Related searches"
how many calories in crown royal whiskey,Informational,140,"1.00,0.65,1.00,0.53,0.81,0.53,0.53,0.65,0.53,0.65,0.53,0.53",8,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
how many calories is crown royal,Informational,140,"0.33,0.66,1.00,0.33,0.53,0.53,0.66,1.00,0.53,0.81,0.81,0.66",10,0.00,0.33,"People also ask, Related searches"
how many carbohydrates are in crown royal,Informational,140,"0.66,0.43,0.33,0.53,0.66,0.66,0.53,1.00,0.66,0.81,0.66,0.66",11,0.00,0.33,"AI Overview, People also ask, Related searches"
how much alc is in crown royal,Informational,140,"0.65,0.34,0.34,0.34,0.65,1.00,1.00,0.80,0.53,0.42,0.42,0.53",16,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
how much sugar in crown royal,Informational,140,"0.66,1.00,0.82,1.00,0.52,0.43,0.43,0.52,0.43,0.43,0.43,0.52",8,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches"
how to drink crown royal,Informational,140,"0.43,0.43,0.43,0.43,0.52,0.52,1.00,0.43,0.33,0.33,0.33,0.33",7,0.00,0.02,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches"
is crown bourbon,Informational,140,"0.42,0.42,0.42,0.42,0.53,0.80,1.00,0.42,0.34,0.42,0.42,0.65",6,0.00,0.04,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Related searches"
is crown royal a bourbon or a whiskey,Informational,140,"0.42,1.00,0.52,0.52,0.42,1.00,0.80,0.52,0.52,0.52,0.80,0.80",7,0.00,0.04,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal a bourbon or whiskey,Informational,140,"0.00,0.53,0.43,0.43,0.02,0.82,1.00,0.43,0.23,0.28,0.35,0.28",7,0.00,0.05,"Sitelinks, AI Overview, People also ask, Related searches"
is crown royal a rye whiskey,"Informational, Commercial",140,"0.42,0.52,0.52,0.66,0.66,0.80,1.00,0.52,0.42,0.52,0.52,0.42",16,0.00,0.08,"Sitelinks, AI Overview, Video carousel, People also ask, Related searches, Popular products"
