Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
aberlour single malt whiskey,"Informational, Transactional",140,"0.66,0.80,0.33,0.52,0.80,1.00,0.80,0.52,0.52,0.42,0.52,0.66",14,0.61,0.95,"Sitelinks, Video carousel, People also ask, Related searches, Popular products",198
aberlour village,Informational,140,"1.00,0.65,0.34,0.65,0.53,0.15,0.28,0.34,0.28,0.34,0.34,0.28",27,2.25,0.02,"Reviews, Image, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Things to know",181
al whiskey,Informational,140,"0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00",4,0.00,0.02,"Sitelinks, Video carousel, People also ask, Related searches",192
arbelour,Informational,140,"1.00,0.00,0.00,0.06,0.67,0.00,0.00,0.00,0.00,0.00,0.00,0.06",25,0.50,0.94,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",198
dowans hotel & restaurant aberlour,"Navigational, Transactional",140,"0.66,0.42,0.33,0.52,0.33,0.33,0.42,1.00,0.80,1.00,0.80,0.66",25,1.15,0.25,"Sitelinks, People also ask, Knowledge panel, Related searches",108
aberlour 12 review,Commercial,110,"1.00,0.76,0.76,0.76,1.00,1.00,1.00,0.48,0.48,0.62,0.48,0.76",0,0.00,0.18,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches",186
aberlour malt whisky,"Informational, Transactional",110,"0.83,1.00,0.41,0.65,1.00,0.24,0.41,0.41,0.41,0.41,0.41,0.18",16,0.61,0.95,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products",198
aberlour scotch a'bunadh,Commercial,110,"0.04,0.04,0.04,0.66,0.09,0.66,1.00,0.52,0.52,0.80,0.66,0.52",13,0.27,0.20,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",199
aberlour town,Informational,110,"0.53,0.26,0.26,0.35,0.42,0.35,1.00,0.53,0.35,0.42,0.42,0.53",27,2.25,0.02,"Image, Image pack, Video carousel, Short videos, People also ask, Knowledge panel, Related searches, People also search, Things to know",139
mash tun aberlour,Informational,110,"0.64,0.64,0.64,0.41,0.52,0.41,0.29,0.64,0.52,0.82,0.64,1.00",26,2.37,0.45,"AI Overview, Reviews, Image, People also ask, Knowledge panel, Related searches",169
the mash tun hotel aberlour,"Informational, Transactional",110,"0.82,0.52,0.41,0.52,0.41,0.29,0.41,0.82,0.64,0.82,1.00,0.82",32,1.74,0.27,"Reviews, People also ask, Knowledge panel, Related searches",111
abalour,"Informational, Transactional",90,"0.12,0.53,0.00,0.43,0.00,0.28,1.00,0.00,0.00,0.00,0.00,0.05",24,0.56,0.93,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",198
aberlour 12 double cask,Commercial,90,"0.32,0.32,0.43,0.32,0.53,0.53,1.00,0.53,0.53,0.43,0.43,0.43",10,0.68,0.98,"Reviews, Image, Image pack, Video carousel, People also ask, Related searches, Popular products",189
aberlour a'bunadh scotch,Commercial,90,"0.05,0.05,0.11,0.82,0.11,0.82,1.00,0.64,0.64,1.00,0.82,0.64",15,0.27,0.20,"Reviews, Image, People also ask, Discussions and forums, Related searches, Popular products",183000
aberlour a'bunadh scotch whisky,Commercial,90,"0.05,0.05,0.05,0.82,0.11,0.82,1.00,0.64,0.64,1.00,0.82,0.64",16,0.27,0.20,"AI Overview, People also ask, Related searches, Popular products",199
aberlour single malt 12 year,Commercial,90,"0.35,0.35,0.79,0.50,1.00,0.64,1.00,0.64,0.50,0.50,0.50,0.64",10,1.07,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",198
aberlour speyside single malt scotch whisky,"Informational, Transactional",90,"0.64,0.79,0.50,0.50,0.64,0.79,1.00,0.64,0.50,0.50,0.50,0.35",2,0.29,0.89,"Image, People also ask, Discussions and forums, Related searches, Popular products",258
aberlour uk,Informational,90,"1.00,0.35,0.42,0.35,0.19,0.19,0.19,0.35,0.11,0.19,0.15,0.07",27,2.25,0.02,"Image, People also ask, Knowledge panel, Related searches, People also search, Things to know",173
charlestown aberlour,Informational,90,"1.00,0.43,0.66,1.00,0.82,0.52,0.52,0.00,0.00,0.00,0.00,0.00",12,2.25,0.02,"AI Overview, Reviews, Image, Video, People also ask, Knowledge panel, Related searches, People also search, Things to know",172
review aberlour 12,Commercial,90,"0.79,0.35,0.49,0.49,0.65,1.00,1.00,0.35,0.49,0.49,0.49,0.49",6,0.00,0.08,"AI Overview, Video carousel, People also ask, Discussions and forums, Related searches",182
review aberlour a'bunadh,Commercial,90,"0.82,0.62,0.82,0.82,0.62,0.62,1.00,1.00,0.62,0.62,0.62,0.62",10,0.00,0.25,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches",33300
scotch aberlour a'bunadh,Commercial,90,"0.05,0.05,0.05,0.82,0.11,0.82,1.00,0.64,0.64,1.00,0.82,0.64",19,0.00,0.18,"Reviews, People also ask, Related searches, Popular products",183000
aberlour a bunadh review,Commercial,70,"0.62,0.62,0.82,0.62,0.62,0.82,1.00,1.00,0.44,0.44,0.44,0.44",9,0.00,0.40,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches",190
aberlour a'bunadh alba,Commercial,70,"1.00,1.00,1.00,0.27,0.45,1.00,1.00,0.45,0.45,0.09,0.64,0.82",5,0.75,0.97,"AI Overview, Reviews, Video, People also ask, Related searches, Popular products",204
aberlour a'bunadh review,Commercial,70,"1.00,0.82,0.82,0.82,0.26,0.35,1.00,0.44,0.35,0.18,0.18,0.62",10,0.00,0.25,"AI Overview, Reviews, Video carousel, People also ask, Discussions and forums, Related searches",190
aberlour forest reserve,Informational,70,"0.14,0.78,0.14,0.14,0.78,0.78,1.00,0.50,0.50,0.50,0.50,0.50",1,0.00,0.33,"Sitelinks, Image, Image pack, People also ask, Related searches",186
aberlourd,Informational,70,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00",24,0.50,0.94,"Sitelinks, AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",198
arbelour 12,Commercial,70,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.01",11,0.44,1.00,"Reviews, Image, Video, People also ask, Related searches, Popular products",192
mash tun hotel aberlour,Informational,70,"1.00,1.00,1.00,0.63,0.63,0.50,0.00,0.13,0.00,0.00,0.06,0.00",32,1.97,0.47,"AI Overview, Reviews, People also ask, Knowledge panel, Related searches",172
the aberlour hotel,"Navigational, Transactional",70,"0.44,1.00,0.63,0.63,0.44,0.44,0.44,1.00,1.00,0.63,0.63,0.81",32,3.06,0.17,"Sitelinks, People also ask, Knowledge panel, Related searches",108
the aberlour hotel aberlour,"Navigational, Transactional",70,"0.64,0.45,0.00,0.64,0.45,0.45,0.45,1.00,1.00,0.64,0.64,0.64",40,3.06,0.17,"Sitelinks, People also ask, Knowledge panel, Related searches",103
aberlour 12 price,Transactional,50,"0.29,0.29,0.29,0.17,0.29,0.11,1.00,0.11,0.11,0.11,0.11,0.17",5,0.00,0.81,"AI Overview, Video, People also ask, Related searches, Popular products",201
aberlour 12 years,Commercial,50,"0.21,0.21,0.21,0.28,0.63,0.50,1.00,0.35,0.50,0.35,0.50,0.50",12,0.54,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",197
aberlour 12 yr,Commercial,50,"0.75,0.54,0.75,1.00,0.43,0.43,0.75,0.54,0.43,0.43,0.54,0.43",12,1.07,1.00,"Sitelinks, AI Overview, Reviews, Image, Video carousel, People also ask, Related searches, Popular products",199
aberlour 18 year,Commercial,50,"0.50,0.14,0.50,0.14,0.35,0.50,1.00,0.50,0.14,0.14,0.14,0.29",11,1.20,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",196
aberlour distillery tour,Transactional,50,"0.35,1.00,0.78,0.50,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.35",19,1.76,0.30,"Video carousel, People also ask, Knowledge panel, Related searches",108
aberlour hotel,"Informational, Transactional",50,"0.36,0.62,0.26,0.36,0.36,0.45,0.36,1.00,0.45,0.62,0.17,0.81",39,1.68,0.61,"Sitelinks, Image, People also ask, Knowledge panel, Related searches",105
aberlour malt whiskey,"Informational, Transactional",50,"1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.81,0.00,0.00,0.00,0.03",14,0.35,1.00,"Image, People also ask, Discussions and forums, Related searches, Popular products",263
aberlour scotch 12,Commercial,50,"0.13,0.13,0.13,0.13,0.13,0.78,1.00,0.13,0.13,0.13,0.13,1.00",10,0.00,1.00,"AI Overview, Image, Video carousel, People also ask, Related searches, Popular products",198
aberlour united kingdom hotels,Transactional,50,"0.50,0.28,0.50,0.28,0.28,0.35,0.28,0.50,0.50,0.50,0.14,1.00",18,1.68,0.61,"Sitelinks, Image, People also ask, Hotels pack, Related searches",167
hotels in aberlour scotland,Transactional,50,"0.49,0.49,0.49,0.28,0.28,0.36,0.28,0.49,0.49,0.49,0.13,1.00",18,1.68,0.61,"Sitelinks, Reviews, People also ask, Hotels pack, Related searches",112
aberlour 12 cost,"Informational, Commercial",40,"0.35,0.35,0.35,0.21,0.35,0.13,1.00,0.13,0.13,0.13,0.13,0.13",4,0.00,0.81,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",201
aberlour 12 scotch,"Informational, Commercial",40,"0.14,0.14,0.14,0.14,0.14,0.78,1.00,0.14,0.14,0.14,0.14,1.00",11,0.00,1.00,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",253
aberlour 12 whiskey,"Informational, Commercial",40,"0.00,0.14,0.14,0.14,0.00,0.78,1.00,0.14,0.00,0.14,0.14,1.00",13,0.00,0.13,"Sitelinks, AI Overview, Image, Video carousel, People also ask, Related searches, Popular products",195
aberlour 16 double charred,Commercial,40,"0.23,0.11,0.11,1.00,0.11,0.11,0.11,0.29,0.11,0.52,0.11,0.11",2,0.00,0.81,"Sitelinks, Video, People also ask, Related searches, Popular products",173
aberlour 18 double sherry cask,"Informational, Commercial",40,"0.28,0.36,0.13,0.13,0.13,0.36,1.00,0.13,0.13,0.13,0.13,0.28",1,0.82,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",180
aberlour double cask 12,Commercial,40,"0.33,0.22,0.22,0.00,0.44,0.22,1.00,0.55,1.00,0.44,0.55,1.00",7,0.68,0.98,"AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",193
aberlour on spey,Informational,40,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.79,0.14,0.14,0.14,0.21",28,0.00,0.03,"AI Overview, Image, People also ask, Knowledge panel, Related searches, People also search",170
aberlour on spey scotland,Informational,40,"0.13,0.13,0.13,0.13,0.13,0.13,1.00,0.78,0.13,0.13,0.13,0.13",29,0.00,0.03,"Image, Video carousel, People also ask, Knowledge panel, Related searches, People also search",231
aberlour tour,"Informational, Transactional",40,"0.71,1.00,1.00,0.71,0.29,0.29,0.29,0.29,0.29,0.29,0.29,0.29",14,1.76,0.30,"People also ask, Related searches",167
distillery aberlour,Transactional,40,"0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00",24,1.00,0.11,"Video, People also ask, Knowledge panel, Related searches, Popular products",171
scotch aberlour 12,"Informational, Commercial",40,"0.14,0.14,0.14,0.14,0.14,0.78,1.00,0.14,0.14,0.14,0.14,1.00",11,0.00,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products",198
abelour distillery,"Navigational, Commercial",30,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.02",26,2.10,0.24,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, Popular products",172
aberlour 12 anos,Commercial,30,"0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.50,0.28,0.14,0.28,0.14",9,0.00,0.36,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",346000
aberlour 13,Informational,30,"0.50,0.50,1.00,0.50,0.50,0.75,1.00,0.50,0.50,0.50,0.50,0.75",3,0.00,0.99,"AI Overview, Reviews, Image, Image pack, People also ask, Related searches",246
aberlour 13 review,Commercial,30,"0.28,1.00,0.57,0.28,0.28,0.28,0.28,1.00,0.57,0.28,0.28,0.28",4,0.00,0.29,"Reviews, Video carousel, People also ask, Related searches",193
aberlour 13 yo double cask,Commercial,30,"0.00,0.00,0.23,0.11,0.00,1.00,0.00,0.00,0.00,0.52,0.00,0.11",3,0.00,0.86,"AI Overview, Reviews, People also ask, Related searches, Popular products",172
aberlour 16 double cask,"Informational, Transactional",30,"0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.23",9,0.00,0.99,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",192
aberlour 16 year,Commercial,30,"0.27,0.27,0.27,0.27,0.27,0.27,1.00,0.27,0.27,0.27,0.27,0.42",2,0.52,1.00,"Sitelinks, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",197
aberlour 18 yr,Commercial,30,"0.17,0.17,0.17,0.17,0.17,0.17,1.00,0.17,0.17,0.17,0.17,0.17",1,0.00,0.99,"Sitelinks, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",194
aberlour a bunadh batch 76 review,"Informational, Commercial",30,"0.11,0.00,0.11,1.00,0.11,0.11,0.00,0.11,0.00,0.11,0.11,0.11",1,0.00,0.33,"Reviews, Video, People also ask, Discussions and forums, Related searches",178
aberlour a bunadh batch 81,Commercial,30,"0.18,0.18,0.18,0.18,1.00,0.36,0.18,0.18,0.18,0.18,0.18,0.18",4,0.00,0.33,"Image, Video, People also ask, Related searches",183
aberlour a'bunadh price,Transactional,30,"0.11,0.33,1.00,0.44,0.22,0.11,0.22,0.22,0.11,0.22,0.11,0.22",13,0.00,0.52,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",201
aberlour a'bunadh single malt scotch whisky,Commercial,30,"0.14,0.07,0.07,0.07,0.14,0.00,1.00,0.14,0.14,0.14,0.14,1.00",16,1.32,0.79,"Reviews, Video carousel, People also ask, Related searches, Popular products",173000
aberlour hotels,Commercial,30,"0.27,0.73,0.27,0.27,0.27,0.27,0.58,1.00,0.27,0.27,0.27,0.73",20,1.82,0.55,"Sitelinks, Reviews, Image, People also ask, Hotels pack, Related searches",176
aberlour pronunciation,Informational,30,"0.40,0.40,0.40,0.40,0.40,0.80,0.80,0.40,0.40,0.40,0.40,1.00",18,0.00,0.33,"Reviews, Video, People also ask, Related searches",107
aberlour single malt 10,"Informational, Commercial",30,"0.44,0.22,0.22,0.22,0.22,0.22,1.00,0.22,0.22,0.55,0.22,0.22",1,0.00,0.93,"AI Overview, Reviews, People also ask, Related searches, Popular products",192
aberlour suthainn,Commercial,30,"0.11,0.11,0.11,0.05,0.11,0.05,0.41,0.05,0.00,0.00,1.00,0.17",5,1.38,0.03,"People also ask, Related searches, Popular products",170
aberlour suthainn double sherry,Commercial,30,"0.00,0.00,0.11,0.11,1.00,0.00,0.11,0.11,0.11,0.11,0.11,0.11",1,0.00,1.00,"Image, People also ask, Related searches, Popular products",138
aberlour whisky innovation limited editions,"Navigational, Transactional",30,1.00,6,0.00,0.00,"Video carousel, People also ask, Related searches",64000
