Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
whisky jack daniel's gentleman,"Informational, Commercial",3600,"0.08,0.00,0.02,0.19,0.08,0.00,1.00,0.36,0.36,0.36,0.36,0.00",9,0.64,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",1440000
jack daniel's blackberry,Informational,2900,"0.00,0.01,0.29,0.29,1.00,0.54,0.05,0.01,0.01,0.01,0.00,0.10",19,1.19,1.00,"AI Overview, Image pack, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",198
jack daniel's tennessee honey,Informational,2900,"0.36,0.28,0.15,0.15,0.13,0.36,1.00,0.43,0.04,0.81,0.81,0.36",12,0.92,0.58,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",196
jack daniel's whiskey honey,Informational,2900,"0.03,0.03,0.04,0.19,0.13,0.04,1.00,0.36,0.54,0.54,0.54,0.29",15,1.03,0.85,"Sitelinks, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",197
jack daniel's winter jack,"Informational, Commercial",2900,"0.04,0.01,0.02,0.01,0.03,0.01,1.00,0.19,0.19,0.10,0.10,0.07",14,1.27,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",192
jack daniels 14,Commercial,2900,"0.44,0.44,0.30,0.24,0.35,0.35,0.81,0.54,0.44,0.44,1.00,0.44",16,1.19,1.00,"Sitelinks, Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",199
jack daniels bbq sauce,Informational,2900,"0.81,1.00,0.65,0.43,0.54,0.54,0.65,0.43,0.43,0.54,0.54,0.65",23,0.26,0.95,"AI Overview, Image, Image pack, People also ask, Recipes, Discussions and forums, Related searches",207
jack daniels bottle,Navigational,2900,"0.54,0.54,1.00,0.54,0.81,0.81,0.81,0.65,0.54,0.81,0.65,0.81",43,0.86,1.00,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products",208
jack daniels cocktails,Informational,2900,"0.66,1.00,0.80,0.66,0.80,0.80,0.80,0.66,0.52,0.66,0.80,1.00",25,1.18,0.95,"AI Overview, Image, Video, People also ask, Recipes, Related searches, Popular products",180
jack daniels coke,Informational,2900,"1.00,0.79,0.79,0.54,0.79,0.42,0.54,0.54,0.42,0.33,0.54,0.54",12,1.26,0.93,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",193
jack daniels coy hill,"Informational, Commercial",2900,"0.77,0.62,0.62,0.62,1.00,1.00,1.00,0.77,0.54,0.38,0.38,0.38",4,1.17,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",182
jack daniels downhome punch,Informational,2900,"0.80,1.00,0.80,0.67,0.80,0.67,0.67,0.52,0.52,1.00,0.67,1.00",12,1.39,0.90,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",179
jack daniels heritage,Commercial,2900,"0.02,0.04,1.00,0.81,0.81,1.00,1.00,0.35,0.18,0.29,0.18,0.05",14,1.27,1.00,"Sitelinks, AI Overview, Reviews, People also ask, Related searches, Popular products",198
jack daniels price,Transactional,2900,"0.44,0.53,0.44,0.44,0.44,0.44,1.00,0.67,0.53,0.53,0.44,0.33",15,0.41,0.60,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",204
jd whisky price,Transactional,2900,"0.36,0.00,0.08,0.16,0.24,0.44,1.00,0.36,0.36,0.36,0.44,0.29",16,0.41,0.60,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",196
gentleman jack daniels,Informational,2400,"0.35,0.81,0.44,0.54,0.15,1.00,0.54,0.19,0.54,0.24,0.35,0.54",13,0.64,1.00,"Sitelinks, AI Overview, Image, Image pack, Short videos, People also ask, Related searches, Popular products",190
jack daniel's distillery visitor center,"Informational, Transactional",2400,"0.53,1.00,0.44,0.67,1.00,0.12,0.67,0.36,0.53,0.80,1.00,0.67",31,1.05,0.07,"Reviews, Image, Video, People also ask, Knowledge panel, Related searches",101
jack daniel's heritage,Commercial,2400,"0.00,0.03,0.81,0.43,0.54,0.66,1.00,0.43,0.24,0.04,0.10,0.03",6,1.27,1.00,"Sitelinks, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",200
jack daniel's single barrel,"Informational, Commercial",2400,"1.00,0.53,0.53,0.80,0.67,0.67,1.00,0.53,0.67,0.24,0.44,0.80",16,1.11,1.00,"Sitelinks, AI Overview, Reviews, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",5510000
jack daniel's winter,"Informational, Commercial",2400,"0.04,0.00,0.00,0.00,0.01,0.00,1.00,0.24,0.24,0.12,0.10,0.08",17,1.27,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Short videos, People also ask, Related searches, Popular products",200
jack daniels 12 year,Commercial,2400,"0.80,0.80,0.20,0.20,0.40,0.50,0.70,0.50,0.40,0.50,1.00,0.70",15,1.06,1.00,"Reviews, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",196
jack daniels apple,Informational,2400,"0.66,0.66,1.00,0.55,1.00,0.83,0.83,0.83,0.55,0.45,0.66,0.55",8,0.50,0.99,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",10900000
jack daniels bourbon,"Informational, Commercial",2400,"0.52,0.52,0.52,0.52,0.66,0.80,1.00,0.66,0.52,0.43,0.43,0.43",19,1.19,0.96,"AI Overview, Image pack, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",179
jack daniels distillery tours,Transactional,2400,"1.00,0.81,0.30,0.65,1.00,0.43,0.30,0.22,0.30,0.30,0.30,0.54",38,1.06,0.44,"Video, People also ask, Local pack, Related searches",106
jack daniels kia,Navigational,2400,"0.82,1.00,0.82,0.82,0.65,0.65,0.65,0.65,0.44,0.82,0.65,0.82",14,1.58,0.95,"Sitelinks, Knowledge panel, Related searches",174
jack daniels logo,Informational,2400,"1.00,0.83,0.83,0.83,1.00,0.83,0.55,0.55,0.55,0.66,0.66,0.66",20,0.44,0.31,"Sitelinks, Image, Image pack, Related searches, Popular products",161
jack daniels porsche,Navigational,2400,"0.65,0.65,1.00,0.54,0.65,0.54,0.65,0.20,0.36,0.43,0.65,0.54",24,2.30,0.83,"Sitelinks, Knowledge panel, Related searches",134
jack daniels single barrel heritage,Commercial,2400,"0.01,0.03,0.16,0.19,0.29,0.44,1.00,0.54,0.44,0.44,0.29,0.23",14,1.26,1.00,"AI Overview, Reviews, Image, People also ask, Related searches, Popular products",200
jack daniels tanyard hill rye,Commercial,2400,"0.00,0.00,0.03,0.03,0.81,1.00,0.81,0.44,0.23,0.16,0.12,0.07",14,1.09,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, Short videos, People also ask, Related searches, Popular products",183
jack daniels wine coolers,Informational,2400,"1.00,1.00,1.00,0.83,0.66,0.83,0.83,0.83,0.66,0.83,0.83,0.83",11,1.28,0.90,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products",224
jackdaniels,"Informational, Navigational",2400,"0.43,0.27,0.66,0.43,0.66,0.80,1.00,0.52,0.43,0.80,0.66,0.52",60,1.29,0.88,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",192
winter jack by jack daniels,Informational,2400,"0.01,0.00,0.03,0.13,0.36,1.00,0.01,0.00,0.00,0.00,0.00,0.00",9,1.27,1.00,"Sitelinks, AI Overview, Image pack, Short videos, People also ask, Related searches, Popular products",191
winter jack daniels,Informational,2400,"0.09,0.07,0.11,0.18,0.36,0.82,1.00,0.82,0.11,0.11,0.23,0.14",11,1.27,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",189
barbecue jack daniels sauce,Informational,1900,"1.00,0.01,0.24,0.66,0.66,0.66,0.66,0.44,0.66,0.66,1.00,0.52",25,0.26,0.95,"AI Overview, People also ask, Recipes, Related searches, Popular products",190
gentleman's jack daniels,Informational,1900,"0.02,0.02,0.00,0.04,0.02,0.02,1.00,0.03,0.02,0.06,0.04,0.00",15,0.64,1.00,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",1010000
jack daniel sinatra,Informational,1900,"0.04,0.10,0.03,0.05,1.00,0.02,0.04,0.66,0.81,0.53,0.66,0.35",6,0.73,1.00,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know",195
jack daniel's country cocktails,"Informational, Commercial",1900,"0.80,0.53,0.44,0.53,0.80,0.36,1.00,0.36,0.25,0.27,0.25,0.36",11,1.12,0.38,"AI Overview, Image, Video, Short videos, People also ask, Related searches, Popular products",263
jack daniel's sinatra select,"Informational, Commercial",1900,"0.44,0.44,0.44,0.53,0.53,0.53,1.00,0.44,0.44,0.20,0.53,0.36",6,0.62,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products",197
jack daniel's single barrel whiskey,"Informational, Commercial",1900,"1.00,0.82,0.66,0.66,0.00,0.00,0.00,0.00,0.00,0.82,0.00,0.00",17,1.02,1.00,"AI Overview, Reviews, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",286
jack daniels 10 year,"Informational, Commercial",1900,"0.62,0.54,0.23,0.23,0.38,0.15,0.23,0.38,0.54,0.54,1.00,1.00",8,1.06,1.00,"AI Overview, Reviews, Image pack, Video carousel, People also ask, Related searches, Popular products",194
jack daniels alcohol percentage,Informational,1900,"0.55,0.66,0.45,0.55,1.00,0.66,0.55,0.66,0.30,0.55,0.66,0.45",14,1.35,0.06,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",126
jack daniels barbecue sauce,"Informational, Commercial",1900,"0.34,0.65,0.83,1.00,1.00,0.83,0.83,0.34,0.65,0.34,0.83,0.65",27,0.26,0.95,"AI Overview, Image, Image pack, People also ask, Recipes, Related searches",202
jack daniels bonded,"Informational, Commercial",1900,"0.77,0.62,0.77,0.54,0.77,0.62,1.00,0.62,0.54,0.54,0.62,0.54",15,1.18,1.00,"AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",8560000
jack daniels drinks,"Informational, Commercial",1900,"0.66,0.66,0.55,0.45,0.66,0.45,1.00,0.45,0.45,0.45,0.45,0.66",25,1.15,0.95,"AI Overview, Image, Video, People also ask, Related searches, Popular products",177
jack daniels jaws,Informational,1900,"1.00,0.04,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00",32,0.00,0.06,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches",189
jack daniels sauce bbq,Informational,1900,"1.00,0.01,0.24,0.66,0.66,0.66,0.66,0.44,0.66,0.66,1.00,0.52",27,0.26,0.95,"Image pack, People also ask, Recipes, Discussions and forums, Related searches, Popular products",237
jack daniels vw,Navigational,1900,"0.79,1.00,1.00,0.79,0.79,0.79,1.00,1.00,0.79,0.79,0.67,0.79",31,1.48,0.65,"Sitelinks, Reviews, Local pack, Related searches",169
jack daniels whiskey bottle,Informational,1900,"1.00,0.65,0.55,0.55,0.65,0.65,0.65,0.83,0.45,0.55,0.65,0.65",24,0.86,1.00,"Sitelinks, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",203
jack daniels whiskey price,Transactional,1900,"0.34,0.28,0.66,0.52,0.10,0.79,0.17,1.00,0.79,0.66,0.28,0.79",7,0.41,0.60,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",201
jd distillery,Informational,1900,"0.00,0.01,0.08,0.01,0.01,0.02,0.02,1.00,0.02,0.19,0.04,0.12",43,0.98,0.25,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches",107
jd distillery lynchburg,Navigational,1900,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00",27,0.98,0.25,"Sitelinks, Video carousel, People also ask, Local pack, Discussions and forums, Related searches",128
sauce barbecue jack daniels,"Informational, Commercial",1900,"1.00,0.01,0.24,0.66,0.66,0.66,0.66,0.44,0.66,0.66,1.00,0.52",20,0.26,0.95,"AI Overview, Image pack, People also ask, Recipes, Related searches, Popular products",226
whisky honey jack daniels,"Informational, Commercial",1900,"0.09,0.00,0.13,0.67,1.00,0.00,0.04,0.67,1.00,1.00,0.02,0.00",13,1.03,0.85,"Sitelinks, AI Overview, Image pack, Video, People also ask, Recipes, Related searches, Popular products",201
whisky jack daniels,Informational,1900,"0.43,0.54,0.81,0.65,0.16,0.43,0.65,0.43,0.20,0.09,0.65,1.00",16,1.30,0.09,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",16600000
coca cola jack daniels,Informational,1600,"0.24,0.45,0.24,1.00,0.66,0.28,0.52,0.45,0.10,0.10,0.66,0.34",18,1.26,0.93,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products",192
honey jack daniels,Informational,1600,"0.78,0.78,0.53,0.67,0.67,0.78,0.78,0.42,0.42,0.67,0.67,1.00",11,1.05,1.00,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",195
is jack daniels whiskey,Informational,1600,"0.85,0.85,0.85,0.85,0.85,1.00,1.00,0.69,0.69,0.69,0.38,0.69",21,0.96,0.02,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches",166
jack daniel distillery,Informational,1600,"0.29,1.00,0.29,0.14,0.29,0.43,0.14,0.14,0.43,0.14,0.29,0.14",36,0.98,0.25,"Sitelinks, Reviews, Image pack, Video, People also ask, Local pack, Discussions and forums, Related searches",167
jack daniel's 14 year,Commercial,1600,"0.12,0.09,0.10,0.20,0.25,0.67,1.00,0.80,0.53,0.80,0.12,0.06",12,1.14,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Discussions and forums, Related searches, Popular products",196
jack daniel's halo mk1,"Informational, Commercial",1600,"0.00,1.00",5,1.07,0.95,"Sitelinks, AI Overview, Video carousel, Related searches, Popular products",155
jack daniel's prices,Transactional,1600,"0.00,0.00,0.01,0.00,0.00,0.00,1.00,0.36,0.00,0.36,0.44,0.00",12,0.41,0.60,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",197
jack daniel's steak seasoning 10.25 oz,"Informational, Transactional",1600,"1.00,0.00",18,0.00,0.00,"Reviews, Video, People also ask, Knowledge panel, Related searches, Popular products",162
jack daniels abv,Informational,1600,"1.00,0.83,0.65,0.34,0.83,0.45,0.30,0.10,0.25,0.55,0.34,0.55",16,1.35,0.06,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",1880000
jack daniels alcohol content,Informational,1600,"1.00,0.66,0.66,0.66,1.00,1.00,1.00,1.00,0.16,0.36,0.55,0.80",15,1.35,0.06,"AI Overview, Image pack, People also ask, Related searches",132
jack daniels and coke,"Informational, Commercial",1600,"0.43,0.36,0.27,0.36,0.27,0.43,0.43,1.00,0.27,0.36,0.43,0.43",11,1.26,0.93,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products",274
jack daniels barrel,"Informational, Transactional",1600,"1.00,0.87,0.87,0.67,0.67,0.67,0.87,0.67,0.67,0.87,0.67,0.67",25,1.41,0.99,"Image pack, Video, People also ask, Related searches, Popular products",185
jack daniels bottling,Informational,1600,"0.10,0.01,0.05,0.30,1.00,0.00,0.04,0.44,0.67,0.67,0.02,0.00",45,0.86,1.00,"Sitelinks, Video, Video carousel, Related searches, Popular products",191
jack daniels fire,Informational,1600,"0.67,0.80,0.54,0.54,0.67,0.80,1.00,0.54,0.41,0.41,0.41,0.37",10,0.83,1.00,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",187
jack daniels gentleman jack,"Informational, Commercial",1600,"0.27,0.27,0.36,1.00,0.24,0.27,0.20,0.66,0.66,0.20,0.80,0.66",8,0.64,1.00,"Sitelinks, AI Overview, Reviews, Image, Video, People also ask, Related searches, Popular products",196
jack daniels shirt,Commercial,1600,"0.09,0.07,0.15,0.11,1.00,0.09,0.09,0.07,0.06,0.09,0.11,0.11",18,0.46,1.00,"Sitelinks, Image, Image pack, Related searches, Popular products",225
jack daniels single barrel bourbon,"Informational, Commercial",1600,"0.05,0.00,0.07,0.00,1.00,0.02,0.05,0.66,0.66,0.66,0.05,0.07",8,1.02,1.00,"Sitelinks, AI Overview, Reviews, Video, People also ask, Related searches, Popular products",192
jack daniels volkswagen,Informational,1600,"0.65,0.65,1.00,0.82,0.82,0.82,0.82,0.03,0.24,0.05,0.04,0.30",35,1.48,0.65,"Sitelinks, Reviews, People also ask, Knowledge panel, Related searches",162
jack daniels watermelon punch,Informational,1600,"0.80,1.00,0.80,0.66,0.66,0.66,0.80,0.55,0.55,0.66,0.66,0.66",16,1.47,0.75,"Sitelinks, Reviews, Image, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",185
jack daniels whiskey honey,Informational,1600,"0.36,0.27,0.52,0.27,0.66,0.27,1.00,0.24,0.27,0.27,0.27,0.44",11,1.03,0.85,"Sitelinks, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products",195
jack daniels whisky,"Navigational, Commercial",1600,"0.12,0.04,0.28,0.02,0.06,0.43,1.00,0.15,0.10,0.36,0.09,0.09",28,1.31,0.15,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches, Popular products",220
jack honey,Informational,1600,"0.84,0.67,1.00,0.67,1.00,0.67,1.00,0.67,0.67,0.67,0.67,0.67",12,1.13,0.67,"Sitelinks, AI Overview, Reviews, Image pack, Video, Video carousel, People also ask, Related searches, Popular products",193
what is jack daniels,Informational,1600,"0.66,0.54,0.79,0.54,0.66,0.79,1.00,0.54,0.41,0.41,0.54,0.54",61,1.31,0.05,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Discussions and forums, Related searches",102
where is jack daniels made,Informational,1600,"1.00,1.00,1.00,0.68,0.86,0.86,0.68,0.68,0.54,0.68,0.86,0.68",22,0.42,0.08,"AI Overview, Image, Video carousel, Related searches",
whisky bourbon jack daniels,"Informational, Commercial",1600,"0.52,0.02,0.20,0.44,0.36,0.00,1.00,0.36,0.44,0.44,0.44,0.00",17,1.19,0.96,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products",187
coy hill jack daniels,Commercial,1300,"0.78,1.00,0.42,0.53,0.53,0.53,0.67,0.53,0.36,0.36,0.28,0.28",7,1.15,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products",179
daniel's near me,Transactional,1300,"0.41,1.00,0.13,0.66,0.04,0.00,0.79,0.54,0.79,0.79,1.00,0.54",40,1.01,0.07,"Reviews, Video, People also ask, Local pack, Related searches",124
drink recipes jack daniels,Informational,1300,"1.00,0.00,0.00,0.00,0.67,0.00,0.00,0.00,0.53,0.67,1.00,0.67",28,1.18,0.95,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches",110
frank sinatra jack daniels,"Informational, Commercial",1300,"0.68,0.68,0.68,0.68,0.68,0.68,1.00,0.68,0.46,0.46,0.36,0.54",16,0.88,1.00,"Sitelinks, AI Overview, Reviews, Image, Image pack, Video, Short videos, People also ask, Related searches, Popular products",183
is jd whiskey,Informational,1300,"0.66,0.04,0.20,0.54,0.54,0.66,1.00,0.54,0.54,0.54,0.66,0.41",23,1.33,0.03,"AI Overview, Video, People also ask, Discussions and forums, Related searches",130
is jd whiskey or bourbon,Informational,1300,"0.41,0.07,0.30,0.41,0.54,0.79,1.00,0.54,0.41,0.54,0.66,0.54",9,0.23,0.07,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches",124
