Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features
royal crown cola,Informational,9900,"0.44,0.30,0.44,0.54,0.54,0.81,0.81,0.30,0.54,0.54,0.67,1.00",45,0.52,0.37,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Popular products, Things to know"
crown royal royal,Navigational,8100,"0.54,0.00,0.07,0.44,0.66,1.00,0.66,0.44,0.36,0.36,0.29,0.16",49,0.60,0.76,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
crown royal whiskey,"Informational, Navigational",8100,"0.55,1.00,0.67,0.55,0.55,0.82,1.00,0.55,0.36,0.44,0.29,0.29",30,0.60,0.76,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Discussions and forums, Related searches, Popular products"
blackberry crown royal,"Informational, Commercial",6600,"1.00,1.00,0.67,0.33,0.33,0.67,1.00,0.33,0.33,0.33,0.33,0.33",12,0.61,0.99,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
crown royal peach,Informational,6600,"0.80,0.80,0.50,0.50,1.00,0.80,1.00,0.50,0.50,0.65,0.50,1.00",10,0.61,0.91,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
crown royale,"Informational, Navigational",6600,"0.54,0.36,0.44,0.54,0.44,0.67,1.00,0.36,0.44,0.36,0.30,0.54",36,0.70,0.96,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, Popular products, Things to know"
crown royal canadian whisky,"Informational, Navigational",5400,"0.67,1.00,1.00,0.67,0.23,0.30,0.23,0.30,0.04,0.30,0.20,0.12",31,0.60,0.76,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products"
royal crown bakery,"Navigational, Transactional",5400,"1.00,0.44,0.29,0.13,0.19,0.08,0.10,0.13,0.10,0.08,0.19,0.16",33,0.00,0.02,"Sitelinks, Reviews, Image, People also ask, Knowledge panel, Discussions and forums, Related searches"
royal crown staten island,"Navigational, Transactional",5400,"0.54,0.66,0.54,1.00,0.81,1.00,0.81,0.54,0.54,0.35,0.44,0.35",42,0.00,0.02,"Sitelinks, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
crown royal bag,Informational,4400,"0.44,0.44,0.67,0.44,0.44,0.54,0.44,1.00,0.54,0.44,0.67,0.67",20,0.14,0.95,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products"
crown royal whisky,"Informational, Navigational",4400,"0.44,1.00,0.54,0.44,0.66,0.44,0.44,0.29,0.24,0.36,0.07,0.13",32,0.69,0.84,"Sitelinks, AI Overview, Image pack, People also ask, Knowledge panel, Related searches, Popular products"
what is crown royal,"Informational, Navigational",4400,"0.67,0.67,0.54,0.67,0.67,0.81,1.00,0.54,0.36,0.54,0.54,0.67",51,0.46,0.04,"Sitelinks, AI Overview, Video carousel, Short videos, People also ask, Discussions and forums, Related searches"
clash royale crown,Informational,3600,"0.01,0.02,0.12,0.44,1.00,0.44,0.19,0.19,0.10,0.05,0.03,0.03",26,0.00,0.02,"Sitelinks, AI Overview, Image pack, Video carousel, Short videos, Discussions and forums, Related searches"
crown royal black,Informational,3600,"0.36,0.44,0.36,0.36,0.36,0.44,1.00,0.36,0.29,0.29,0.29,0.29",8,0.44,0.99,"AI Overview, Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
crown royal regal apple,Informational,3600,"0.19,0.19,0.54,1.00,0.54,0.54,1.00,0.28,0.36,0.36,0.66,0.54",10,0.56,0.10,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
black berry crown royal,"Informational, Commercial",2900,"0.50,0.81,0.63,0.31,0.44,0.44,1.00,0.50,0.31,0.50,0.00,0.00",11,0.61,0.99,"Sitelinks, AI Overview, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
chocolate crown royal recipes,Informational,2900,"0.00,0.00,0.19,0.66,0.66,0.66,1.00,0.24,0.19,0.08,0.04,0.04",16,1.75,0.01,"AI Overview, Video, Short videos, People also ask, Recipes, Related searches"
crown royal deluxe,Informational,2900,"0.04,0.07,0.10,0.19,0.15,0.07,1.00,0.36,0.07,0.29,0.36,0.54",12,0.61,0.04,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
crown royal price,Transactional,2900,"0.66,0.55,0.55,0.55,0.66,0.82,1.00,0.66,0.55,0.43,0.55,0.82",12,0.34,0.39,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
crown royal salted caramel,"Informational, Commercial",2900,"0.16,0.16,0.23,0.30,0.30,0.43,1.00,0.30,0.16,0.18,0.16,0.18",16,0.79,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Local pack, Related searches, Popular products"
crown royal vanilla,Informational,2900,"0.52,0.52,0.52,0.43,0.52,0.66,1.00,0.52,0.52,0.43,0.43,0.52",10,0.58,0.94,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
peach crown royal,"Informational, Commercial",2900,"0.81,0.81,0.63,0.50,0.63,0.81,1.00,0.50,0.50,0.50,0.50,0.50",12,0.57,0.94,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Discussions and forums, Related searches, Popular products, Things to know"
royal liquor,Commercial,2900,"0.66,0.55,1.00,0.41,1.00,0.83,0.66,0.83,0.55,0.34,1.00,0.66",29,1.07,0.04,"Sitelinks, Reviews, Image, Image pack, Local pack, Related searches, Popular products"
salted caramel crown royal,"Informational, Commercial",2900,"0.09,0.11,0.16,0.23,0.36,0.55,1.00,0.36,0.23,0.18,0.18,0.18",11,0.78,1.00,"Sitelinks, AI Overview, Image, Video, People also ask, Related searches, Popular products, Things to know"
the crown royal coffee lab & tasting room,"Informational, Navigational",2900,"0.66,0.00,0.16,0.29,0.44,0.81,0.66,0.66,1.00,1.00,1.00,0.53",23,0.00,0.03,"Sitelinks, People also ask, Knowledge panel, Related searches"
apple crown royal,Informational,2400,"0.54,0.54,0.67,0.54,0.67,0.79,1.00,0.54,0.42,0.33,0.29,0.29",11,0.59,0.99,"Sitelinks, AI Overview, Image pack, Video, Short videos, People also ask, Discussions and forums, Related searches, Popular products"
black crown royal whiskey,Informational,2400,"0.00,0.00,0.00,0.00,0.24,0.44,1.00,0.24,0.36,0.29,0.36,0.00",11,0.44,0.99,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products"
crown alcohol,Informational,2400,"0.67,0.67,0.67,0.53,0.80,0.80,1.00,0.67,0.53,0.53,0.80,1.00",30,1.12,0.31,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal bags,Informational,2400,"1.00,0.65,0.54,0.43,0.43,0.81,0.81,0.43,0.81,0.43,0.29,0.43",33,0.14,0.95,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
crown royal reserve,Informational,2400,"0.36,0.36,0.36,0.28,0.28,0.36,1.00,0.43,0.28,0.28,0.28,0.36",13,0.57,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal xo,"Informational, Commercial",2400,"0.64,0.64,0.53,0.42,0.53,0.53,1.00,0.53,0.42,0.36,0.36,0.42",10,0.52,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
is crown royal whiskey,Informational,2400,"0.29,0.53,0.35,0.53,0.24,0.66,1.00,0.44,0.29,0.35,0.35,0.35",24,0.00,0.02,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search"
liquor crown royal price,Transactional,2400,"0.81,0.00,0.19,0.54,0.54,1.00,1.00,0.54,0.54,0.54,0.54,0.43",11,0.34,0.39,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
royal crown bakery staten island,"Navigational, Transactional",2400,"0.07,0.29,0.05,0.08,0.16,1.00,0.03,1.00,0.08,0.16,0.16,0.23",35,0.00,0.02,"Sitelinks, Short videos, People also ask, Knowledge panel, Discussions and forums, Related searches"
royal crown soda,Informational,2400,"0.24,0.19,0.24,0.54,0.10,0.54,0.19,1.00,0.10,0.43,0.28,0.13",41,0.52,0.37,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know"
salt and caramel crown royal,"Informational, Commercial",2400,"0.16,0.01,0.07,0.19,0.24,0.44,1.00,0.19,0.16,0.16,0.16,0.13",10,0.79,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
8-bit royal crown,Commercial,1900,"1.00,0.54,0.28,0.43,0.05,0.43,0.03,0.28,0.04,0.04,0.07,0.04",26,0.79,0.58,"Sitelinks, Video, Video carousel, People also ask, Related searches, Popular products"
crown flavors,"Informational, Commercial",1900,"0.83,0.45,0.34,0.66,1.00,0.55,0.83,0.66,0.66,0.66,0.55,0.83",17,0.27,0.47,"Sitelinks, AI Overview, Image, Video, Short videos, People also ask, Related searches, Popular products"
crown royal bottle,Informational,1900,"0.65,0.65,0.65,0.55,0.65,0.55,1.00,0.83,0.55,0.45,0.55,0.55",37,0.76,1.00,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
crown royal chocolate flavored whisky,"Informational, Commercial",1900,"0.00,0.00,0.10,1.00,0.54,0.23,0.44,0.44,0.16,0.08,0.07,0.04",10,0.00,0.01,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
crown royal liquor,"Informational, Navigational",1900,"0.07,0.07,0.07,0.12,0.44,0.12,0.16,1.00,0.08,0.29,0.23,0.08",29,0.60,0.76,"Sitelinks, AI Overview, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products"
crown royal xr,"Informational, Commercial",1900,"0.63,0.63,0.63,0.50,0.63,0.63,1.00,0.63,0.50,0.44,0.50,0.50",10,0.91,1.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
crown whiskey,"Informational, Navigational",1900,"0.83,0.83,0.83,0.66,0.83,1.00,1.00,0.66,0.55,0.45,0.83,0.83",32,0.51,0.93,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products, Things to know"
new crown royal,"Informational, Transactional",1900,"0.42,0.67,0.67,0.54,0.29,0.29,1.00,0.79,0.67,0.54,0.54,0.54",30,0.62,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
royal caribbean crown & anchor society,"Informational, Navigational",1900,"0.79,0.79,1.00,0.79,0.79,0.79,0.66,1.00,0.79,0.66,0.54,0.66",35,1.85,0.07,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
royal crown cola rc,Informational,1900,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.81",6,0.52,0.37,"Sitelinks, AI Overview, Image, Image pack, Video carousel, People also ask, Related searches, Popular products, Things to know"
royal near me,Transactional,1900,"0.55,0.65,0.65,0.65,0.82,0.65,0.55,0.82,0.55,0.82,0.82,1.00",42,0.00,0.02,"AI Overview, Reviews, People also ask, Local pack, Related searches"
crown royal bottling,Informational,1600,"0.79,0.66,0.66,0.54,0.54,0.79,1.00,0.54,0.66,0.66,0.66,0.54",41,0.70,1.00,"Sitelinks, Video, Video carousel, People also ask, Related searches"
crown royal canadian whisky reserve,"Informational, Commercial",1600,"0.54,0.02,0.00,0.36,0.29,0.54,1.00,0.36,0.36,0.36,0.36,0.29",15,0.57,1.00,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
crown royal crown,"Informational, Navigational",1600,"0.29,0.23,0.07,0.08,0.10,0.03,0.02,1.00,0.05,0.10,0.10,0.04",31,0.60,0.76,"Sitelinks, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
crown royal logo,"Informational, Navigational",1600,"1.00,0.78,0.67,0.67,0.67,0.67,0.78,0.53,0.53,0.78,0.78,0.67",32,0.00,0.07,"Sitelinks, Image pack, People also ask, Related searches, Popular products"
crown xo,Informational,1600,"0.45,0.45,0.55,0.45,0.45,0.55,1.00,0.55,0.34,0.34,0.30,0.34",11,0.48,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches, Popular products"
drinks with crown royal,Informational,1600,"0.44,0.44,0.55,0.44,0.44,0.65,1.00,0.30,0.44,0.44,0.55,0.65",21,1.41,0.37,"AI Overview, Reviews, Image, Image pack, Video, People also ask, Related searches"
royal caribbean crown and anchor,"Informational, Transactional",1600,"0.42,0.42,0.53,0.42,0.42,0.53,0.78,1.00,1.00,1.00,1.00,0.78",23,1.91,0.04,"Image, Image pack, People also ask, Discussions and forums, Related searches"
where is crown royal made,Informational,1600,"0.35,0.30,0.43,1.00,0.43,0.65,0.65,0.57,0.43,0.35,0.30,0.35",33,0.00,0.01,"Sitelinks, AI Overview, People also ask, Related searches"
chocolate crown royal near me,Transactional,1300,"0.00,0.02,1.00,0.53,0.35,0.35,0.53,0.13,0.10,0.07,0.08,0.07",13,0.75,1.00,"Sitelinks, AI Overview, Image, People also ask, Knowledge panel, Related searches"
criwn,Informational,1300,"0.52,0.52,0.52,0.52,1.00,0.46,0.46,0.46,0.37,0.85,0.52,0.85",93,5.38,0.08,"AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
crown bottle,"Informational, Commercial",1300,"0.67,0.67,1.00,0.67,0.67,0.67,1.00,0.67,0.51,0.84,0.51,0.84",31,0.82,0.67,"Image, Image pack, People also ask, Discussions and forums, Related searches, Popular products"
crown reserve,Informational,1300,"0.55,0.41,0.41,0.41,0.41,0.55,1.00,0.55,0.36,0.41,0.36,0.36",15,0.58,0.98,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal apple whiskey,Commercial,1300,"0.54,1.00,0.79,0.54,1.00,0.66,0.79,0.41,0.20,0.00,0.13,0.20",9,0.62,0.89,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
crown royal black canadian whisky,Informational,1300,"1.00,1.00,1.00,0.66,0.06,0.05,0.12,0.00,0.03,0.05,0.05,0.05",12,0.44,0.99,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
crown royal casino,Informational,1300,"0.30,0.24,0.41,0.54,0.54,0.41,0.66,0.41,0.79,1.00,0.79,0.66",16,8.20,0.07,"Reviews, Video, People also ask, Related searches"
crown royal chocolate recipes,Informational,1300,"0.00,0.00,0.10,0.44,0.53,0.44,1.00,0.29,0.16,0.10,0.08,0.08",21,0.00,0.33,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Recipes, Related searches"
crown royal crown logo,"Informational, Commercial",1300,"0.30,1.00,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00,0.81,0.62",34,0.00,0.07,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
crown royal fine de luxe,"Informational, Commercial",1300,"0.36,0.41,0.67,0.67,0.55,1.00,1.00,0.79,0.55,0.24,0.55,0.55",10,0.37,0.50,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
crown royal gift set,"Informational, Transactional",1300,"0.06,0.05,0.05,0.08,0.12,0.44,1.00,0.08,0.05,0.05,0.03,0.05",10,0.69,0.99,"Sitelinks, Image, Image pack, Video, People also ask, Related searches, Popular products"
crown royal maple,"Informational, Commercial",1300,"0.41,0.30,0.66,0.80,0.80,0.80,1.00,0.41,0.41,0.41,0.36,0.41",18,0.68,1.00,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal regal apple whisky,Commercial,1300,"0.55,0.55,1.00,0.65,0.30,0.82,0.65,0.13,0.20,0.20,0.44,0.20",8,0.00,0.01,"Sitelinks, Image, Image pack, Video carousel, People also ask, Related searches, Popular products"
crown royal stoves,Navigational,1300,"0.07,0.08,0.27,1.00,0.52,0.52,0.52,0.66,0.44,0.16,0.13,0.10",14,0.56,0.29,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches, Popular products"
crown royal vanilla and,Informational,1300,"0.67,0.04,0.30,0.54,0.54,0.80,1.00,0.54,0.54,0.54,0.67,0.41",14,0.57,0.78,"People also ask, Recipes, Related searches, Popular products"
crown royal whiskey flavors,Commercial,1300,"0.10,0.07,0.10,0.08,0.07,0.07,0.03,1.00,0.10,0.08,0.08,0.12",31,0.19,0.98,"AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal whiskey price,Transactional,1300,"0.36,0.30,0.54,0.54,0.41,0.79,0.16,1.00,0.36,0.41,0.41,0.54",14,0.34,0.39,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
crown royal whiskey sour,Informational,1300,"0.41,0.30,0.55,0.66,0.66,0.80,1.00,0.23,0.23,0.23,0.23,0.23",10,1.04,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Recipes, Related searches, Popular products"
crown spirits,"Navigational, Commercial",1300,"0.10,1.00,0.10,0.13,0.13,0.16,0.13,0.10,0.10,0.16,0.16,0.24",26,1.19,0.08,"Sitelinks, People also ask, Local pack, Related searches, Popular products"
new crown royal flavor,Informational,1300,"0.34,0.15,0.34,0.55,0.55,0.45,1.00,0.20,0.25,0.31,0.34,0.31",37,0.43,0.99,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
royal caribbean crown and anchor society,"Informational, Navigational",1300,"0.31,0.31,1.00,0.84,1.00,0.84,0.68,0.84,0.68,0.68,0.68,0.84",34,1.85,0.07,"Sitelinks, Video, People also ask, Discussions and forums, Related searches"
royal crown restaurant,"Informational, Transactional",1300,"0.06,0.16,0.05,0.05,0.04,0.04,0.04,1.00,0.05,0.10,0.06,0.16",37,1.49,0.03,"Image, Image pack, People also ask, Knowledge panel, Related searches"
royal crown whiskey,"Informational, Transactional",1300,"0.53,0.42,0.53,0.53,0.53,0.78,1.00,0.42,0.36,0.36,0.36,0.42",31,0.57,1.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products, Things to know"
royal crowns,Informational,1300,"0.31,0.83,0.55,0.34,0.45,0.31,1.00,0.20,0.34,0.66,0.83,0.45",47,0.67,0.10,"AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
vanilla crown royal,"Informational, Commercial",1300,"0.55,0.55,0.55,0.41,0.55,0.80,1.00,0.55,0.41,0.41,0.55,0.55",9,0.47,0.90,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches, Popular products"
750 ml crown royal,"Informational, Commercial",1000,"0.81,0.62,0.37,0.44,0.62,1.00,0.81,0.55,0.44,0.62,0.30,0.30",8,0.53,0.98,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products"
apple drink with crown royal,Informational,1000,"0.31,0.08,0.08,0.46,0.52,0.84,1.00,0.68,0.52,0.46,0.52,0.37",23,1.42,0.29,"AI Overview, Video, People also ask, Recipes, Related searches"
crowm,Informational,1000,"0.54,0.54,0.67,0.67,1.00,0.42,1.00,0.75,1.00,0.67,1.00,0.67",93,5.38,0.08,"AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products"
crown drink,Informational,1000,"1.00,0.77,0.77,0.68,1.00,0.77,0.77,0.68,0.56,0.68,0.68,1.00",19,1.45,0.30,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products"
crown royal 750ml,Informational,1000,"0.62,1.00,0.62,0.20,0.62,0.55,0.82,0.82,0.36,0.30,0.55,0.62",17,0.53,0.98,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products"
crown royal abv,"Informational, Commercial",1000,"0.67,0.45,0.76,1.00,0.76,0.76,1.00,0.67,0.67,0.67,0.76,1.00",9,0.00,0.03,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
crown royal alcohol by volume,Informational,1000,"1.00,0.06,0.45,0.81,0.81,1.00,1.00,0.81,0.62,0.55,0.81,0.62",14,0.00,0.04,"Sitelinks, AI Overview, People also ask, Related searches, Popular products"
crown royal alcohol percentage,Informational,1000,"0.56,0.68,0.68,1.00,1.00,1.00,1.00,0.77,0.56,0.44,0.77,0.77",32,0.00,0.03,"Sitelinks, AI Overview, People also ask, Related searches"
crown royal apple and,"Informational, Commercial",1000,"0.31,0.08,0.08,0.46,0.52,0.84,1.00,0.68,0.52,0.46,0.52,0.37",10,1.42,0.29,"AI Overview, Video carousel, People also ask, Related searches, Popular products"
crown royal canadian whisky xo,Commercial,1000,"0.00,0.02,0.46,0.85,0.68,0.06,0.11,0.85,1.00,0.85,0.03,0.02",8,0.52,1.00,"Sitelinks, People also ask, Related searches, Popular products"
