Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),Competitive Density,SERP Features,Number of Results
makers mark whisky,"Informational, Navigational",880,"1.00,0.45,0.17,0.34,0.62,0.28,0.55,0.62,0.62,0.62,0.28,0.28",12,0.93,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",191
marck,Informational,880,"0.73,0.89,0.89,0.89,1.00,0.89,0.73,0.89,0.73,1.00,1.00,1.00",29,0.00,0.01,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",113
st mark's liquor,"Informational, Transactional",880,"0.76,0.08,0.55,1.00,1.00,0.00,0.45,0.67,0.55,0.76,1.00,0.55",21,0.00,0.03,"Reviews, People also ask, Knowledge panel, Related searches",126
whisky maker's mark,"Navigational, Commercial",880,"0.04,0.04,0.02,0.28,0.00,0.00,0.01,0.15,1.00,0.00,0.00,0.00",35,1.12,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",203
cask strength makers mark,Commercial,720,"0.31,0.31,0.37,0.37,0.46,0.31,0.68,0.37,0.37,0.31,0.37,1.00",3,1.02,1.00,"Reviews, Image, Image pack, People also ask, Related searches, Popular products",187
cost of maker's mark,"Informational, Commercial",720,"0.11,0.00,0.03,0.03,0.12,0.00,1.00,0.55,0.67,0.41,0.41,0.55",8,0.52,0.78,"Image, People also ask, Related searches, Popular products",190
is maker's mark a bourbon,Informational,720,"0.45,0.45,0.36,0.45,0.45,0.45,1.00,0.55,0.10,0.10,0.10,0.06",33,0.00,0.12,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches",212
maker mark whiskey,Informational,720,"0.19,0.16,0.19,0.19,0.19,0.23,1.00,0.19,0.12,0.12,0.16,0.16",7,1.12,1.00,"Sitelinks, AI Overview, Image pack, People also ask, Discussions and forums, Related searches, Popular products",191
maker marks bourbon,"Informational, Transactional",720,"0.44,1.00,0.44,0.44,0.44,0.44,0.61,0.44,0.19,0.44,0.36,0.61",37,1.08,0.48,"Sitelinks, AI Overview, Reviews, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search, Popular products, Things to know",193
maker's mark cost,Informational,720,"1.00,0.24,0.55,0.08,0.06,0.00,0.82,0.55,0.62,0.36,0.36,0.82",8,0.52,0.78,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",198
makers mark 101,"Informational, Commercial",720,"0.45,0.55,0.36,0.45,0.55,0.55,1.00,0.68,0.55,0.55,0.45,0.45",20,0.87,1.00,"Sitelinks, AI Overview, Image, People also ask, Related searches, Popular products",185
makers mark cellar aged 2025,"Informational, Commercial",720,"0.00,0.01,0.30,0.62,1.00,0.81,1.00,0.24,0.24,0.36,0.55,0.24",13,1.31,1.00,"AI Overview, Reviews, People also ask, Discussions and forums, Related searches, Popular products",173
makers mark private selection,"Informational, Commercial",720,"0.23,0.36,0.32,0.73,1.00,0.73,1.00,0.91,0.73,0.91,0.73,0.91",6,1.33,1.00,"AI Overview, Video, People also ask, Discussions and forums, Related searches, Popular products",190
makers mark visit,"Informational, Navigational",720,"0.80,0.04,0.04,0.02,1.00,0.04,0.05,0.05,0.02,0.04,0.05,0.04",28,1.30,0.24,"Sitelinks, Reviews, Discussions and forums, Related searches",
what is maker's mark,Informational,720,"0.48,0.58,0.58,0.58,0.73,0.58,1.00,0.58,0.58,0.58,0.73,0.16",39,1.64,0.18,"Sitelinks, AI Overview, Video, People also ask, Related searches",105
is makers mark gluten free,Informational,590,"0.39,0.39,0.48,0.39,0.48,0.72,0.88,0.48,1.00,0.32,0.32,0.32",8,0.00,0.33,"Sitelinks, AI Overview, People also ask, Related searches",108
maker mark whiskey price,Transactional,590,"0.88,0.88,1.00,0.59,0.71,0.59,0.32,0.24,0.15,0.32,0.06,0.00",8,0.52,0.78,"Sitelinks, AI Overview, Video, People also ask, Related searches, Popular products",197
maker's mark mash bill,Informational,590,"0.48,0.48,0.48,0.39,0.59,1.00,0.88,0.59,0.48,0.59,0.59,0.14",35,2.25,0.11,"AI Overview, Reviews, Image pack, People also ask, Related searches",135
makers mark ambassador,Navigational,590,"0.13,0.19,0.19,0.19,0.19,0.19,0.81,0.13,0.63,1.00,0.81,0.63",23,2.25,0.18,"Sitelinks, People also ask, Related searches",
makers mark bottle,"Informational, Transactional",590,"0.73,0.32,0.39,0.58,0.32,0.48,1.00,0.89,0.32,0.48,0.89,0.73",18,0.76,1.00,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products",192
makers mark liquor,"Informational, Navigational",590,"0.48,1.00,0.48,0.48,0.59,0.32,1.00,0.48,0.26,0.59,0.39,0.59",33,1.08,0.48,"Sitelinks, Video, People also ask, Knowledge panel, Related searches, People also search, Popular products",192
makers mark mash bill,Informational,590,"0.67,0.67,0.67,0.54,0.67,0.81,1.00,0.81,0.54,0.67,0.67,0.81",35,2.25,0.11,"AI Overview, Reviews, Image pack, People also ask, Related searches",133
makers mark proof,Informational,590,"0.48,0.48,0.58,0.58,0.58,0.58,1.00,0.58,0.58,0.39,0.48,0.48",25,1.39,0.35,"Sitelinks, AI Overview, Video carousel, People also ask, Discussions and forums, Related searches, Popular products",187
makers mark tour,"Informational, Transactional",590,"1.00,1.00,0.81,0.81,0.63,0.50,0.50,0.50,0.44,0.50,0.50,0.63",29,0.00,0.01,"Image, Image pack, Video, Short videos, People also ask, Knowledge panel, Related searches",163
where is maker's mark made,Informational,590,"1.00,0.83,0.83,0.83,1.00,1.00,1.00,0.67,0.46,0.29,0.29,0.17",39,0.00,0.04,"AI Overview, Video, People also ask, Related searches",104
who owns makers mark,Informational,590,"0.59,0.59,0.39,0.39,0.59,0.72,1.00,0.72,0.39,0.48,0.59,0.59",31,0.00,0.01,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",148
dodgers makers mark,Commercial,480,"0.09,0.44,0.30,0.37,0.56,1.00,0.56,0.07,0.06,0.06,0.09,0.07",7,1.76,1.00,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products",164
furniture makers marks,Informational,480,"0.66,0.66,0.54,0.66,0.81,0.81,0.81,0.81,0.81,0.81,0.81,1.00",14,0.00,0.01,"AI Overview, Image pack, People also ask, Related searches",183
jewelry makers marks,Informational,480,"0.81,1.00,0.66,0.44,0.81,0.81,0.81,0.66,0.66,0.81,1.00,0.81",20,0.84,0.03,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches",184
mackers mark,"Informational, Navigational",480,"0.01,0.00,0.00,0.45,0.30,0.76,1.00,0.67,0.30,0.30,0.45,0.24",18,1.61,0.96,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",186
maker mark distillery,"Informational, Transactional",480,"0.56,0.24,0.19,0.44,0.76,1.00,0.00,0.00,0.04,0.09,0.24,0.30",31,1.50,0.12,"Reviews, Image, Video carousel, People also ask, Knowledge panel, Related searches",127
maker marks,"Informational, Navigational",480,"0.48,0.32,0.88,0.39,0.21,1.00,0.72,0.88,0.26,0.17,0.59,0.59",18,1.61,0.96,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches, People also search",131
maker's bourbon whiskey,Informational,480,"0.13,0.36,0.03,0.10,0.16,0.00,1.00,0.36,0.30,0.36,0.36,0.24",6,1.08,0.96,"Sitelinks, AI Overview, Video carousel, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products",195
maker's mark 46 bourbon,"Informational, Commercial",480,"0.20,0.30,0.30,0.36,0.30,0.36,1.00,0.45,0.24,0.24,0.36,0.00",7,1.30,0.35,"Sitelinks, AI Overview, Image pack, People also ask, Related searches, Popular products",218
maker's mark 750ml price,Transactional,480,"0.48,0.39,0.39,0.48,0.39,0.48,1.00,0.48,0.26,0.48,0.72,0.72",8,0.40,0.98,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",191
maker's mark ambassador program,Navigational,480,"0.44,0.82,0.82,0.82,1.00,1.00,1.00,0.36,0.18,0.29,0.29,0.29",16,0.00,0.33,"Sitelinks, Video, People also ask, Related searches",
maker's mark bottle,"Navigational, Transactional",480,"0.59,0.59,0.59,0.21,0.47,1.00,0.21,0.59,0.39,0.47,0.13,0.11",50,1.07,1.00,"Sitelinks, Image, Image pack, People also ask, Related searches, Popular products",193
maker's mark logo,Informational,480,"0.22,0.22,1.00,0.81,1.00,0.81,0.81,0.66,0.81,1.00,0.81,0.66",38,2.05,0.02,"Sitelinks, AI Overview, Image, Image pack, People also ask, Related searches, Popular products",195
makers mark cost,"Informational, Commercial",480,"0.08,0.11,0.11,0.04,0.20,1.00,0.08,0.03,0.16,0.02,0.02,0.04",8,0.55,0.86,"Sitelinks, AI Overview, People also ask, Related searches, Popular products",197
marker mark,"Informational, Navigational",480,"0.80,0.67,0.67,0.67,0.67,0.80,1.00,0.80,0.53,0.67,0.80,1.00",37,1.30,0.95,"Sitelinks, AI Overview, People also ask, Knowledge panel, Discussions and forums, Related searches, People also search, Popular products, Things to know",191
marks liquor,Commercial,480,"0.66,0.66,1.00,0.54,0.81,0.81,0.81,0.66,0.54,0.54,0.81,1.00",19,0.00,0.17,"Sitelinks, Reviews, Image pack, People also ask, Local pack, Related searches",145
member's mark whiskey,Informational,480,"0.39,0.32,0.39,0.47,0.47,0.59,1.00,0.39,0.47,0.26,0.39,0.26",7,0.76,0.96,"AI Overview, Image, Image pack, Video carousel, Short videos, People also ask, Related searches",180
pottery makers marks,Informational,480,"0.67,1.00,0.81,1.00,1.00,0.81,0.81,1.00,0.81,1.00,0.81,0.81",24,0.47,0.99,"Reviews, Image, Image pack, Video, People also ask, Related searches, Popular products",192
proof makers mark,"Informational, Commercial",480,"0.54,0.15,0.15,0.45,0.54,0.54,1.00,0.54,0.45,0.45,0.54,0.45",16,1.39,0.35,"Sitelinks, AI Overview, Image pack, Video carousel, People also ask, Related searches, Popular products",184
slam dunk makers mark,Informational,480,"0.36,0.22,0.36,0.19,0.22,0.28,0.67,1.00,0.22,0.28,0.56,0.19",18,2.10,0.28,"Sitelinks, AI Overview, Image pack, People also ask, Related searches",180
ceramic makers marks,Informational,390,"0.44,0.35,0.66,0.81,0.81,0.66,0.81,1.00,0.81,1.00,0.81,0.81",24,0.47,1.00,"Sitelinks, AI Overview, Reviews, Image pack, People also ask, Related searches, Popular products",194
drexel furniture makers mark,Informational,390,"0.66,0.23,0.23,0.66,0.81,0.81,0.81,0.81,0.81,1.00,1.00,0.81",24,0.00,0.33,"AI Overview, Image pack, Video, People also ask, Related searches",173
is maker's mark bourbon or whiskey,Informational,390,"0.26,0.39,0.48,0.48,0.39,0.32,1.00,0.32,0.32,0.26,0.26,0.26",37,0.00,0.17,"Sitelinks, AI Overview, Reviews, People also ask, Related searches",167
is makers mark bourbon,Informational,390,"0.09,0.66,0.15,0.19,0.23,0.54,0.54,0.29,0.81,0.81,1.00,1.00",38,0.00,0.14,"Sitelinks, AI Overview, People also ask, Discussions and forums, Related searches, Popular products",194
maker's mark bourbon proof,Informational,390,"0.08,0.13,0.08,0.11,0.21,0.47,1.00,0.47,0.39,0.39,0.47,0.00",37,1.39,0.35,"Sitelinks, AI Overview, Reviews, Video carousel, People also ask, Related searches, Popular products",188
maker's mark cask strength bourbon,"Informational, Commercial",390,"0.17,0.32,0.39,0.26,0.07,0.48,1.00,0.59,0.48,0.59,0.59,1.00",10,1.72,0.21,"Sitelinks, AI Overview, Reviews, Image, Image pack, People also ask, Related searches, Popular products",186
